date,mine_id,mine_name,planned_tonnage,actual_tonnage,ore_grade_mn,recovery_rate,crusher_utilization,fleet_availability,operating_hours,downtime_hours,rainfall_mm,shortfall_tonnes,shortfall_percentage,shortfall_event
2025-03-17,balaghat,Balaghat Deep Shaft,6200,5054,44.6,87.9,96.5,88.2,23.4,0.6,0.0,1146,18.5,1
2025-03-18,balaghat,Balaghat Deep Shaft,6200,5117,44.5,86.8,88.7,88.7,23.0,1.0,0.0,1083,17.5,1
2025-03-19,balaghat,Balaghat Deep Shaft,6200,5203,43.7,87.3,96.0,90.2,23.2,0.8,0.0,997,16.1,1
2025-03-20,balaghat,Balaghat Deep Shaft,6200,5036,42.8,84.8,93.4,91.6,22.5,1.5,0.0,1164,18.8,1
2025-03-21,balaghat,Balaghat Deep Shaft,6200,4972,44.1,87.4,86.9,91.2,22.3,1.7,0.0,1228,19.8,1
2025-03-22,balaghat,Balaghat Deep Shaft,6200,5275,44.0,85.6,91.7,97.4,22.9,1.1,0.0,925,14.9,1
2025-03-23,balaghat,Balaghat Deep Shaft,6200,5268,44.4,87.8,90.3,92.9,22.7,1.3,0.0,932,15.0,1
2025-03-24,balaghat,Balaghat Deep Shaft,6200,4972,43.7,86.7,95.3,89.5,22.9,1.1,0.0,1228,19.8,1
2025-03-25,balaghat,Balaghat Deep Shaft,6200,5377,44.7,88.0,88.9,95.7,22.3,1.7,0.0,823,13.3,1
2025-03-26,balaghat,Balaghat Deep Shaft,6200,5317,45.1,87.5,94.8,90.4,23.3,0.7,0.0,883,14.2,1
2025-03-27,balaghat,Balaghat Deep Shaft,6200,4995,44.5,87.4,95.9,88.0,23.3,0.7,0.0,1205,19.4,1
2025-03-28,balaghat,Balaghat Deep Shaft,6200,4855,43.9,86.2,91.9,89.4,22.2,1.8,0.0,1345,21.7,1
2025-03-29,balaghat,Balaghat Deep Shaft,6200,4783,43.7,85.2,84.7,90.9,22.0,2.0,0.0,1417,22.9,1
2025-03-30,balaghat,Balaghat Deep Shaft,6200,5345,44.3,87.2,90.0,92.8,22.7,1.3,0.0,855,13.8,1
2025-03-31,balaghat,Balaghat Deep Shaft,6200,5093,43.1,87.0,92.6,89.6,22.7,1.3,0.0,1107,17.9,1
2025-04-01,balaghat,Balaghat Deep Shaft,6200,5024,44.4,88.0,90.7,88.7,22.8,1.2,0.0,1176,19.0,1
2025-04-02,balaghat,Balaghat Deep Shaft,6200,5338,43.9,85.5,90.8,94.0,23.1,0.9,0.0,862,13.9,1
2025-04-03,balaghat,Balaghat Deep Shaft,6200,4533,43.6,84.7,85.4,87.1,22.1,1.9,0.0,1667,26.9,1
2025-04-04,balaghat,Balaghat Deep Shaft,6200,5286,44.1,87.5,87.4,91.7,22.6,1.4,0.0,914,14.7,1
2025-04-05,balaghat,Balaghat Deep Shaft,6200,3497,44.0,86.3,60.5,90.7,15.8,8.2,0.0,2703,43.6,1
2025-04-06,balaghat,Balaghat Deep Shaft,6200,5248,44.0,86.5,92.0,94.5,22.8,1.2,0.0,952,15.4,1
2025-04-07,balaghat,Balaghat Deep Shaft,6200,4930,44.2,86.4,89.4,87.5,22.2,1.8,0.0,1270,20.5,1
2025-04-08,balaghat,Balaghat Deep Shaft,6200,5071,44.9,86.6,90.7,87.8,23.3,0.7,0.0,1129,18.2,1
2025-04-09,balaghat,Balaghat Deep Shaft,6200,4928,44.4,85.9,93.8,90.3,23.0,1.0,0.0,1272,20.5,1
2025-04-10,balaghat,Balaghat Deep Shaft,6200,5476,44.4,87.8,89.3,92.7,23.0,1.0,0.0,724,11.7,1
2025-04-11,balaghat,Balaghat Deep Shaft,6200,5484,43.9,85.7,95.2,94.7,23.3,0.7,0.0,716,11.5,1
2025-04-12,balaghat,Balaghat Deep Shaft,6200,5530,45.3,88.1,93.5,92.5,23.1,0.9,0.0,670,10.8,1
2025-04-13,balaghat,Balaghat Deep Shaft,6200,4815,42.8,85.4,90.9,89.3,22.1,1.9,0.0,1385,22.3,1
2025-04-14,balaghat,Balaghat Deep Shaft,6200,4954,44.6,86.1,86.4,91.8,22.5,1.5,0.0,1246,20.1,1
2025-04-15,balaghat,Balaghat Deep Shaft,6200,4824,45.3,85.9,85.9,88.1,22.4,1.6,0.0,1376,22.2,1
2025-04-16,balaghat,Balaghat Deep Shaft,6200,5160,44.9,88.3,91.0,91.6,22.6,1.4,0.0,1040,16.8,1
2025-04-17,balaghat,Balaghat Deep Shaft,6200,5171,42.8,86.1,89.3,93.6,22.1,1.9,0.0,1029,16.6,1
2025-04-18,balaghat,Balaghat Deep Shaft,6200,5172,43.3,86.0,95.7,90.9,23.3,0.7,0.0,1028,16.6,1
2025-04-19,balaghat,Balaghat Deep Shaft,6200,5068,43.1,85.3,94.1,94.2,22.6,1.4,0.0,1132,18.3,1
2025-04-20,balaghat,Balaghat Deep Shaft,6200,5259,43.5,86.1,89.5,90.8,23.4,0.6,0.0,941,15.2,1
2025-04-21,balaghat,Balaghat Deep Shaft,6200,4814,44.6,87.7,90.9,89.5,22.2,1.8,0.0,1386,22.4,1
2025-04-22,balaghat,Balaghat Deep Shaft,6200,4921,44.3,86.5,89.3,89.7,22.3,1.7,0.0,1279,20.6,1
2025-04-23,balaghat,Balaghat Deep Shaft,6200,4957,44.3,85.2,89.8,88.6,23.2,0.8,0.0,1243,20.0,1
2025-04-24,balaghat,Balaghat Deep Shaft,6200,5207,45.3,86.5,96.7,88.7,23.5,0.5,0.0,993,16.0,1
2025-04-25,balaghat,Balaghat Deep Shaft,6200,5144,43.8,87.4,93.6,89.7,22.5,1.5,0.0,1056,17.0,1
2025-04-26,balaghat,Balaghat Deep Shaft,6200,5213,44.6,86.1,95.6,88.4,23.4,0.6,0.0,987,15.9,1
2025-04-27,balaghat,Balaghat Deep Shaft,6200,5199,43.6,85.0,94.3,95.6,23.2,0.8,0.0,1001,16.1,1
2025-04-28,balaghat,Balaghat Deep Shaft,6200,5080,43.4,85.1,88.3,92.3,22.9,1.1,0.0,1120,18.1,1
2025-04-29,balaghat,Balaghat Deep Shaft,6200,5404,43.1,86.1,91.3,94.8,23.1,0.9,0.0,796,12.8,1
2025-04-30,balaghat,Balaghat Deep Shaft,6200,5016,44.1,85.3,92.2,92.0,22.4,1.6,0.0,1184,19.1,1
2025-05-01,balaghat,Balaghat Deep Shaft,6200,5339,45.0,86.9,95.8,90.7,23.5,0.5,0.0,861,13.9,1
2025-05-02,balaghat,Balaghat Deep Shaft,6200,4965,44.1,87.4,87.5,91.9,22.0,2.0,0.0,1235,19.9,1
2025-05-03,balaghat,Balaghat Deep Shaft,6200,4755,44.5,85.7,89.4,87.4,22.7,1.3,0.0,1445,23.3,1
2025-05-04,balaghat,Balaghat Deep Shaft,6200,5371,44.8,87.8,88.8,92.1,22.6,1.4,0.0,829,13.4,1
2025-05-05,balaghat,Balaghat Deep Shaft,6200,5094,42.8,84.9,96.2,92.5,23.4,0.6,0.0,1106,17.8,1
2025-05-06,balaghat,Balaghat Deep Shaft,6200,4998,43.4,85.4,93.4,90.0,23.1,0.9,0.0,1202,19.4,1
2025-05-07,balaghat,Balaghat Deep Shaft,6200,4999,39.8,84.7,86.2,96.7,22.1,1.9,0.0,1201,19.4,1
2025-05-08,balaghat,Balaghat Deep Shaft,6200,5207,44.3,87.1,90.2,90.1,22.8,1.2,0.0,993,16.0,1
2025-05-09,balaghat,Balaghat Deep Shaft,6200,5089,44.0,86.6,89.5,91.9,22.8,1.2,0.0,1111,17.9,1
2025-05-10,balaghat,Balaghat Deep Shaft,6200,5208,44.8,87.3,91.5,93.1,23.1,0.9,0.0,992,16.0,1
2025-05-11,balaghat,Balaghat Deep Shaft,6200,5006,44.1,85.7,87.6,88.2,22.7,1.3,0.0,1194,19.3,1
2025-05-12,balaghat,Balaghat Deep Shaft,6200,5588,44.5,87.5,92.3,93.6,23.1,0.9,0.0,612,9.9,0
2025-05-13,balaghat,Balaghat Deep Shaft,6200,5611,44.3,87.2,91.9,93.5,23.4,0.6,0.0,589,9.5,0
2025-05-14,balaghat,Balaghat Deep Shaft,6200,5176,44.6,87.3,85.7,91.4,22.2,1.8,0.0,1024,16.5,1
2025-05-15,balaghat,Balaghat Deep Shaft,6200,4985,44.5,86.1,96.5,88.0,23.3,0.7,0.0,1215,19.6,1
2025-05-16,balaghat,Balaghat Deep Shaft,6200,5172,43.9,86.9,88.3,91.0,22.7,1.3,0.0,1028,16.6,1
2025-05-17,balaghat,Balaghat Deep Shaft,6200,5352,44.6,88.2,91.0,88.1,23.5,0.5,0.0,848,13.7,1
2025-05-18,balaghat,Balaghat Deep Shaft,6200,5217,45.0,85.9,90.0,90.2,22.8,1.2,0.0,983,15.9,1
2025-05-19,balaghat,Balaghat Deep Shaft,6200,4809,43.1,87.0,91.4,87.3,22.4,1.6,0.0,1391,22.4,1
2025-05-20,balaghat,Balaghat Deep Shaft,6200,5012,43.7,84.7,97.4,89.0,23.4,0.6,0.0,1188,19.2,1
2025-05-21,balaghat,Balaghat Deep Shaft,6200,4903,44.6,88.0,85.8,88.8,22.1,1.9,0.0,1297,20.9,1
2025-05-22,balaghat,Balaghat Deep Shaft,6200,3517,44.6,85.3,65.7,91.4,16.1,7.9,0.0,2683,43.3,1
2025-05-23,balaghat,Balaghat Deep Shaft,6200,5285,45.2,88.1,92.7,94.4,22.7,1.3,0.0,915,14.8,1
2025-05-24,balaghat,Balaghat Deep Shaft,6200,5310,44.9,85.8,89.7,89.9,23.4,0.6,0.0,890,14.4,1
2025-05-25,balaghat,Balaghat Deep Shaft,6200,5160,43.5,87.1,87.8,90.6,22.4,1.6,0.0,1040,16.8,1
2025-05-26,balaghat,Balaghat Deep Shaft,6200,5315,43.3,87.2,89.5,92.0,22.6,1.4,0.0,885,14.3,1
2025-05-27,balaghat,Balaghat Deep Shaft,6200,5204,44.9,87.2,93.9,92.9,22.7,1.3,0.0,996,16.1,1
2025-05-28,balaghat,Balaghat Deep Shaft,6200,5132,45.3,86.6,95.7,91.4,23.4,0.6,0.0,1068,17.2,1
2025-05-29,balaghat,Balaghat Deep Shaft,6200,4691,43.7,86.7,87.6,82.8,22.6,1.4,0.0,1509,24.3,1
2025-05-30,balaghat,Balaghat Deep Shaft,6200,5182,44.0,85.3,87.6,93.0,22.3,1.7,0.0,1018,16.4,1
2025-05-31,balaghat,Balaghat Deep Shaft,6200,5005,44.7,86.0,88.8,92.8,22.5,1.5,0.0,1195,19.3,1
2025-06-01,balaghat,Balaghat Deep Shaft,6200,5359,44.3,87.6,89.9,91.1,23.0,1.0,0.0,841,13.6,1
2025-06-02,balaghat,Balaghat Deep Shaft,6200,5150,44.2,85.1,91.3,90.9,23.1,0.9,0.0,1050,16.9,1
2025-06-03,balaghat,Balaghat Deep Shaft,6200,5143,45.5,86.5,92.1,93.1,22.3,1.7,0.0,1057,17.0,1
2025-06-04,balaghat,Balaghat Deep Shaft,6200,5112,43.3,84.6,91.3,94.5,22.1,1.9,0.0,1088,17.5,1
2025-06-05,balaghat,Balaghat Deep Shaft,6200,5498,43.6,86.6,92.8,94.2,23.4,0.6,0.0,702,11.3,1
2025-06-06,balaghat,Balaghat Deep Shaft,6200,5378,43.9,86.8,97.7,92.4,23.5,0.5,0.0,822,13.3,1
2025-06-07,balaghat,Balaghat Deep Shaft,6200,5177,45.3,87.4,88.3,90.1,23.1,0.9,0.0,1023,16.5,1
2025-06-08,balaghat,Balaghat Deep Shaft,6200,5381,44.8,86.3,96.0,93.1,23.2,0.8,0.0,819,13.2,1
2025-06-09,balaghat,Balaghat Deep Shaft,6200,4380,43.3,84.5,85.7,83.8,21.8,2.2,17.4,1820,29.4,1
2025-06-10,balaghat,Balaghat Deep Shaft,6200,4975,43.8,86.7,89.4,86.3,22.7,1.3,12.3,1225,19.8,1
2025-06-11,balaghat,Balaghat Deep Shaft,6200,4109,44.5,85.9,78.0,82.2,20.2,3.8,33.0,2091,33.7,1
2025-06-12,balaghat,Balaghat Deep Shaft,6200,4501,44.5,87.8,85.7,85.2,20.8,3.2,33.5,1699,27.4,1
2025-06-13,balaghat,Balaghat Deep Shaft,6200,5076,44.7,87.4,91.2,88.7,23.0,1.0,7.3,1124,18.1,1
2025-06-14,balaghat,Balaghat Deep Shaft,6200,4755,43.8,86.9,86.0,86.7,21.8,2.2,15.6,1445,23.3,1
2025-06-15,balaghat,Balaghat Deep Shaft,6200,4233,44.2,86.1,85.0,82.4,20.6,3.4,36.9,1967,31.7,1
2025-06-16,balaghat,Balaghat Deep Shaft,6200,4796,44.2,87.8,92.7,86.4,22.3,1.7,10.5,1404,22.6,1
2025-06-17,balaghat,Balaghat Deep Shaft,6200,4142,45.0,88.4,82.6,78.8,20.2,3.8,35.7,2058,33.2,1
2025-06-18,balaghat,Balaghat Deep Shaft,6200,3532,44.4,85.7,71.4,78.9,18.5,5.5,61.0,2668,43.0,1
2025-06-19,balaghat,Balaghat Deep Shaft,6200,4213,45.2,88.4,80.7,83.6,20.6,3.4,36.8,1987,32.0,1
2025-06-20,balaghat,Balaghat Deep Shaft,6200,3816,43.9,86.3,77.6,77.5,19.9,4.1,40.9,2384,38.5,1
2025-06-21,balaghat,Balaghat Deep Shaft,6200,3292,44.5,88.1,77.3,71.2,18.7,5.3,62.4,2908,46.9,1
2025-06-22,balaghat,Balaghat Deep Shaft,6200,2831,43.5,84.6,69.9,68.8,17.6,6.4,80.2,3369,54.3,1
2025-06-23,balaghat,Balaghat Deep Shaft,6200,4674,45.4,86.1,86.9,84.8,21.8,2.2,10.0,1526,24.6,1
2025-06-24,balaghat,Balaghat Deep Shaft,6200,4547,45.1,86.3,88.3,87.7,21.6,2.4,8.4,1653,26.7,1
2025-06-25,balaghat,Balaghat Deep Shaft,6200,2483,44.0,85.3,66.4,62.4,16.4,7.6,106.8,3717,60.0,1
2025-06-26,balaghat,Balaghat Deep Shaft,6200,4960,43.4,85.2,92.7,91.0,23.0,1.0,3.8,1240,20.0,1
2025-06-27,balaghat,Balaghat Deep Shaft,6200,2499,44.0,86.3,70.7,59.3,17.3,6.7,101.2,3701,59.7,1
2025-06-28,balaghat,Balaghat Deep Shaft,6200,4305,44.0,87.8,78.5,83.6,20.2,3.8,39.1,1895,30.6,1
2025-06-29,balaghat,Balaghat Deep Shaft,6200,4008,44.1,85.3,78.7,84.0,20.0,4.0,37.5,2192,35.4,1
2025-06-30,balaghat,Balaghat Deep Shaft,6200,4005,44.6,87.3,77.1,79.1,20.3,3.7,39.5,2195,35.4,1
2025-07-01,balaghat,Balaghat Deep Shaft,6200,3696,44.5,86.6,76.4,77.9,19.2,4.8,49.7,2504,40.4,1
2025-07-02,balaghat,Balaghat Deep Shaft,6200,4340,44.6,85.3,83.9,85.3,21.5,2.5,25.7,1860,30.0,1
2025-07-03,balaghat,Balaghat Deep Shaft,6200,4847,44.1,85.4,85.7,88.0,21.9,2.1,22.0,1353,21.8,1
2025-07-04,balaghat,Balaghat Deep Shaft,6200,3846,44.9,87.8,73.8,80.7,18.8,5.2,56.4,2354,38.0,1
2025-07-05,balaghat,Balaghat Deep Shaft,6200,2070,44.4,88.0,52.8,54.6,14.6,9.4,131.7,4130,66.6,1
2025-07-06,balaghat,Balaghat Deep Shaft,6200,2206,44.1,87.0,58.3,57.0,15.4,8.6,121.1,3994,64.4,1
2025-07-07,balaghat,Balaghat Deep Shaft,6200,2333,44.6,87.9,58.5,59.4,15.6,8.4,121.1,3867,62.4,1
2025-07-08,balaghat,Balaghat Deep Shaft,6200,3003,43.8,87.1,59.7,81.9,15.2,8.8,19.6,3197,51.6,1
2025-07-09,balaghat,Balaghat Deep Shaft,6200,4601,40.9,83.4,87.4,88.9,21.7,2.3,19.0,1599,25.8,1
2025-07-10,balaghat,Balaghat Deep Shaft,6200,3990,44.8,86.5,81.0,78.5,20.2,3.8,46.1,2210,35.6,1
2025-07-11,balaghat,Balaghat Deep Shaft,6200,1078,44.4,85.3,32.9,55.9,8.0,16.0,293.5,5122,82.6,1
2025-07-12,balaghat,Balaghat Deep Shaft,6200,3343,44.3,87.1,76.7,70.2,19.0,5.0,67.7,2857,46.1,1
2025-07-13,balaghat,Balaghat Deep Shaft,6200,1665,43.2,85.4,51.5,55.0,12.7,11.3,177.0,4535,73.1,1
2025-07-14,balaghat,Balaghat Deep Shaft,6200,1232,44.2,85.6,34.6,57.1,8.8,15.2,230.7,4968,80.1,1
2025-07-15,balaghat,Balaghat Deep Shaft,6200,2395,44.3,85.4,60.5,62.2,16.1,7.9,108.9,3805,61.4,1
2025-07-16,balaghat,Balaghat Deep Shaft,6200,2209,43.5,85.2,58.6,58.4,15.8,8.2,106.6,3991,64.4,1
2025-07-17,balaghat,Balaghat Deep Shaft,6200,4348,43.7,86.3,81.7,84.3,20.8,3.2,41.9,1852,29.9,1
2025-07-18,balaghat,Balaghat Deep Shaft,6200,2384,44.2,86.2,68.0,58.5,16.5,7.5,111.3,3816,61.5,1
2025-07-19,balaghat,Balaghat Deep Shaft,6200,3555,43.2,87.0,69.6,75.9,18.6,5.4,68.7,2645,42.7,1
2025-07-20,balaghat,Balaghat Deep Shaft,6200,4189,44.5,87.4,80.8,81.2,21.3,2.7,19.8,2011,32.4,1
2025-07-21,balaghat,Balaghat Deep Shaft,6200,1217,43.8,86.2,39.0,53.7,9.5,14.5,224.5,4983,80.4,1
2025-07-22,balaghat,Balaghat Deep Shaft,6200,3875,43.0,86.3,75.6,80.1,19.4,4.6,47.1,2325,37.5,1
