mine_id,sample_id,x,y,elevation,depth_m,lithology,mn_grade,fe_grade,density,geological_confidence
balaghat,GEO-BAL-0052,80.1998,21.80073,279.3,43,Surface Lateritic Overburden,17.0,9.3,2.79,0.76
balaghat,GEO-BAL-0053,80.17271,21.81281,174.9,141,Gondite Manganese Reef Horizon,47.3,6.0,3.48,0.93
balaghat,GEO-BAL-0054,80.18426,21.79119,304.5,18,Surface Lateritic Overburden,18.5,8.3,2.78,0.71
balaghat,GEO-BAL-0055,80.19626,21.79621,210.1,110,Gondite Manganese Reef Horizon,41.3,6.2,3.45,0.94
balaghat,GEO-BAL-0056,80.18589,21.80838,-19.9,339,Tirodi Crystalline Gneiss Basement,21.4,9.2,2.83,0.74
balaghat,GEO-BAL-0057,80.17863,21.81801,289.8,30,Surface Lateritic Overburden,18.8,8.4,2.51,0.68
balaghat,GEO-BAL-0058,80.1808,21.80701,146.2,170,Gondite Manganese Reef Horizon,50.1,5.9,3.88,0.9
balaghat,GEO-BAL-0059,80.19488,21.81799,1.5,320,Tirodi Crystalline Gneiss Basement,21.0,8.5,2.97,0.73
balaghat,GEO-BAL-0060,80.17099,21.80079,290.6,30,Surface Lateritic Overburden,16.3,7.6,2.79,0.78
balaghat,GEO-BAL-0061,80.18426,21.80194,24.8,295,Tirodi Crystalline Gneiss Basement,19.2,10.0,2.93,0.75
balaghat,GEO-BAL-0062,80.18686,21.81257,-28.6,348,Tirodi Crystalline Gneiss Basement,17.3,7.5,2.98,0.69
balaghat,GEO-BAL-0063,80.19035,21.80804,227.3,91,Mansar Quartz-Mica Schist,24.9,6.8,3.01,0.85
balaghat,GEO-BAL-0064,80.19577,21.80606,133.1,189,Gondite Manganese Reef Horizon,49.1,5.2,3.49,0.88
balaghat,GEO-BAL-0065,80.18881,21.81062,52.1,267,Hydrothermal Manganiferous Breccia,27.9,5.8,3.18,0.79
balaghat,GEO-BAL-0066,80.18332,21.81662,174.4,146,Gondite Manganese Reef Horizon,43.8,5.8,3.68,0.94
balaghat,GEO-BAL-0067,80.19869,21.79391,17.0,303,Tirodi Crystalline Gneiss Basement,20.2,7.9,2.78,0.75
balaghat,GEO-BAL-0068,80.18006,21.8085,139.8,180,Gondite Manganese Reef Horizon,49.6,4.7,3.49,0.9
balaghat,GEO-BAL-0069,80.18943,21.79496,260.5,61,Mansar Quartz-Mica Schist,24.5,6.4,3.07,0.77
balaghat,GEO-BAL-0070,80.17143,21.79457,239.4,79,Mansar Quartz-Mica Schist,24.3,5.7,2.85,0.81
balaghat,GEO-BAL-0071,80.18113,21.8046,235.8,84,Mansar Quartz-Mica Schist,25.1,7.1,3.05,0.76
balaghat,GEO-BAL-0072,80.19783,21.79133,14.7,307,Tirodi Crystalline Gneiss Basement,18.5,9.6,2.67,0.63
balaghat,GEO-BAL-0073,80.18474,21.80805,179.7,139,Gondite Manganese Reef Horizon,42.3,5.8,3.43,0.91
balaghat,GEO-BAL-0074,80.19706,21.80485,65.1,253,Hydrothermal Manganiferous Breccia,28.9,6.8,3.27,0.74
balaghat,GEO-BAL-0075,80.18152,21.7901,212.9,105,Mansar Quartz-Mica Schist,25.1,6.2,2.85,0.87
balaghat,GEO-BAL-0076,80.19057,21.81318,105.3,213,Gondite Manganese Reef Horizon,44.6,5.4,3.81,0.95
balaghat,GEO-BAL-0077,80.17403,21.79801,163.8,159,Gondite Manganese Reef Horizon,47.0,5.5,3.65,0.98
balaghat,GEO-BAL-0078,80.17732,21.79255,102.1,217,Gondite Manganese Reef Horizon,43.0,4.8,3.53,0.91
balaghat,GEO-BAL-0079,80.1971,21.79191,242.0,73,Mansar Quartz-Mica Schist,25.7,7.5,2.84,0.8
balaghat,GEO-BAL-0080,80.19617,21.81401,-20.4,339,Tirodi Crystalline Gneiss Basement,18.6,9.3,2.97,0.68
balaghat,GEO-BAL-0081,80.1786,21.81258,112.9,206,Gondite Manganese Reef Horizon,44.8,5.2,3.76,0.9
balaghat,GEO-BAL-0082,80.18852,21.79816,264.7,53,Mansar Quartz-Mica Schist,25.1,6.5,3.01,0.76
balaghat,GEO-BAL-0083,80.17423,21.7914,191.8,127,Gondite Manganese Reef Horizon,43.5,5.7,3.93,0.94
balaghat,GEO-BAL-0084,80.18256,21.79997,148.3,172,Gondite Manganese Reef Horizon,49.8,4.8,3.45,0.95
balaghat,GEO-BAL-0085,80.19545,21.79369,111.8,207,Gondite Manganese Reef Horizon,46.5,4.8,3.51,0.96
balaghat,GEO-BAL-0086,80.18589,21.80026,82.5,237,Hydrothermal Manganiferous Breccia,31.0,7.6,3.22,0.76
balaghat,GEO-BAL-0087,80.17924,21.81193,147.8,169,Gondite Manganese Reef Horizon,49.6,6.0,3.67,0.93
balaghat,GEO-BAL-0088,80.18893,21.79301,2.3,318,Tirodi Crystalline Gneiss Basement,19.9,8.2,2.66,0.72
balaghat,GEO-BAL-0089,80.1862,21.81632,97.0,222,Hydrothermal Manganiferous Breccia,32.1,6.5,3.12,0.81
balaghat,GEO-BAL-0090,80.1873,21.81237,293.3,26,Surface Lateritic Overburden,18.6,9.0,2.44,0.78
balaghat,GEO-BAL-0091,80.18212,21.81342,262.1,57,Mansar Quartz-Mica Schist,24.2,6.9,3.09,0.83
balaghat,GEO-BAL-0092,80.18648,21.79705,70.9,247,Hydrothermal Manganiferous Breccia,28.5,7.8,3.29,0.76
balaghat,GEO-BAL-0093,80.19862,21.7941,151.4,169,Gondite Manganese Reef Horizon,52.0,5.5,3.41,0.97
balaghat,GEO-BAL-0094,80.18715,21.8104,-6.6,327,Tirodi Crystalline Gneiss Basement,19.7,7.5,2.83,0.69
balaghat,GEO-BAL-0095,80.19229,21.81753,162.8,157,Gondite Manganese Reef Horizon,49.3,4.7,4.09,0.96
balaghat,GEO-BAL-0096,80.19783,21.8156,269.1,56,Mansar Quartz-Mica Schist,25.5,6.3,2.82,0.79
balaghat,GEO-BAL-0097,80.17034,21.7995,38.7,283,Hydrothermal Manganiferous Breccia,25.3,7.8,3.17,0.75
balaghat,GEO-BAL-0098,80.18377,21.79624,55.7,262,Hydrothermal Manganiferous Breccia,28.2,6.2,3.25,0.76
balaghat,GEO-BAL-0099,80.18107,21.80692,-3.0,321,Tirodi Crystalline Gneiss Basement,19.8,10.4,2.66,0.66
balaghat,GEO-BAL-0100,80.20011,21.80457,275.6,43,Surface Lateritic Overburden,17.8,8.7,2.48,0.78
balaghat,GEO-BAL-0101,80.17592,21.7906,242.1,83,Mansar Quartz-Mica Schist,23.7,5.6,3.11,0.81
balaghat,GEO-BAL-0102,80.18342,21.80152,127.6,190,Gondite Manganese Reef Horizon,49.0,4.8,4.0,0.97
balaghat,GEO-BAL-0103,80.17832,21.80882,179.3,140,Gondite Manganese Reef Horizon,45.1,4.8,3.9,0.95
balaghat,GEO-BAL-0104,80.17686,21.79643,296.2,24,Surface Lateritic Overburden,17.4,7.0,2.66,0.69
balaghat,GEO-BAL-0105,80.1775,21.81117,272.5,48,Mansar Quartz-Mica Schist,25.1,6.3,3.07,0.78
balaghat,GEO-BAL-0106,80.19709,21.78989,203.7,113,Gondite Manganese Reef Horizon,42.6,6.0,3.97,0.91
balaghat,GEO-BAL-0107,80.18159,21.80721,220.5,101,Mansar Quartz-Mica Schist,24.0,6.3,3.02,0.81
balaghat,GEO-BAL-0108,80.19865,21.81241,208.9,113,Gondite Manganese Reef Horizon,40.4,5.9,3.7,0.88
balaghat,GEO-BAL-0109,80.18645,21.8085,213.8,105,Mansar Quartz-Mica Schist,25.4,7.2,3.19,0.82
balaghat,GEO-BAL-0110,80.17837,21.79005,244.7,72,Mansar Quartz-Mica Schist,25.6,6.6,3.06,0.86
balaghat,GEO-BAL-0111,80.17053,21.79361,239.2,84,Mansar Quartz-Mica Schist,27.0,6.8,2.87,0.87
balaghat,GEO-BAL-0112,80.18169,21.80507,164.3,155,Gondite Manganese Reef Horizon,48.3,5.5,3.57,0.92
balaghat,GEO-BAL-0113,80.18087,21.81107,210.1,111,Gondite Manganese Reef Horizon,38.1,5.3,3.86,0.97
balaghat,GEO-BAL-0114,80.17665,21.79044,61.2,260,Hydrothermal Manganiferous Breccia,26.7,5.9,3.25,0.79
balaghat,GEO-BAL-0115,80.19333,21.7927,194.4,126,Gondite Manganese Reef Horizon,42.1,5.3,3.88,0.92
balaghat,GEO-BAL-0116,80.19477,21.81348,220.8,97,Mansar Quartz-Mica Schist,26.6,6.7,2.94,0.76
balaghat,GEO-BAL-0117,80.1743,21.81801,-4.6,322,Tirodi Crystalline Gneiss Basement,18.9,8.9,2.95,0.71
balaghat,GEO-BAL-0118,80.18996,21.81027,34.1,285,Hydrothermal Manganiferous Breccia,28.8,6.9,3.11,0.85
balaghat,GEO-BAL-0119,80.17138,21.81067,-9.4,331,Tirodi Crystalline Gneiss Basement,19.4,7.1,2.88,0.64
balaghat,GEO-BAL-0120,80.19933,21.81783,-1.7,324,Tirodi Crystalline Gneiss Basement,19.1,10.0,2.73,0.72
dongri-buzurg,GEO-DON-0001,79.72429,21.5351,350.9,27,Surface Lateritic Overburden,22.2,8.7,2.43,0.7
dongri-buzurg,GEO-DON-0002,79.73012,21.53776,186.7,195,Gondite Manganese Reef Horizon,40.0,5.5,3.56,0.88
dongri-buzurg,GEO-DON-0003,79.70704,21.55444,75.4,306,Tirodi Crystalline Gneiss Basement,19.3,9.8,3.0,0.65
dongri-buzurg,GEO-DON-0004,79.71846,21.5426,109.8,272,Hydrothermal Manganiferous Breccia,28.4,8.0,3.38,0.76
dongri-buzurg,GEO-DON-0005,79.72853,21.53536,223.4,156,Gondite Manganese Reef Horizon,39.1,5.0,3.61,0.9
dongri-buzurg,GEO-DON-0006,79.70694,21.55783,347.1,29,Surface Lateritic Overburden,19.4,8.5,2.49,0.79
dongri-buzurg,GEO-DON-0007,79.70908,21.54073,106.6,278,Hydrothermal Manganiferous Breccia,27.2,6.2,3.5,0.73
dongri-buzurg,GEO-DON-0008,79.72589,21.54643,46.9,330,Tirodi Crystalline Gneiss Basement,19.3,7.6,2.69,0.63
dongri-buzurg,GEO-DON-0009,79.7169,21.52994,103.3,276,Hydrothermal Manganiferous Breccia,26.6,7.5,3.35,0.72
dongri-buzurg,GEO-DON-0010,79.71313,21.53491,96.7,288,Hydrothermal Manganiferous Breccia,29.1,7.1,3.05,0.83
dongri-buzurg,GEO-DON-0011,79.71029,21.55486,278.1,103,Mansar Quartz-Mica Schist,30.4,6.6,2.83,0.8
dongri-buzurg,GEO-DON-0012,79.71419,21.5499,239.3,139,Gondite Manganese Reef Horizon,41.0,4.9,3.88,0.89
dongri-buzurg,GEO-DON-0013,79.72125,21.54262,82.4,300,Tirodi Crystalline Gneiss Basement,19.6,8.2,2.87,0.68
dongri-buzurg,GEO-DON-0014,79.73276,21.55212,277.9,104,Mansar Quartz-Mica Schist,29.5,7.2,3.08,0.86
dongri-buzurg,GEO-DON-0015,79.7268,21.54676,130.7,248,Hydrothermal Manganiferous Breccia,28.6,7.7,3.44,0.7
dongri-buzurg,GEO-DON-0016,79.71027,21.53825,87.6,291,Tirodi Crystalline Gneiss Basement,19.8,9.9,2.93,0.68
dongri-buzurg,GEO-DON-0017,79.71501,21.54671,363.0,17,Surface Lateritic Overburden,19.9,7.3,2.65,0.73
dongri-buzurg,GEO-DON-0018,79.70961,21.55103,105.1,276,Hydrothermal Manganiferous Breccia,28.1,6.6,3.32,0.84
dongri-buzurg,GEO-DON-0019,79.73452,21.54884,330.6,49,Mansar Quartz-Mica Schist,31.3,6.9,2.83,0.83
dongri-buzurg,GEO-DON-0020,79.72503,21.52957,250.7,130,Gondite Manganese Reef Horizon,41.3,4.5,3.42,0.91
dongri-buzurg,GEO-DON-0021,79.72951,21.5487,198.6,178,Gondite Manganese Reef Horizon,39.2,6.2,3.7,0.93
dongri-buzurg,GEO-DON-0022,79.73024,21.54901,313.2,69,Mansar Quartz-Mica Schist,34.1,6.0,3.18,0.77
dongri-buzurg,GEO-DON-0023,79.73471,21.54079,218.5,159,Gondite Manganese Reef Horizon,42.0,5.0,4.09,0.92
dongri-buzurg,GEO-DON-0024,79.7133,21.53459,66.1,314,Tirodi Crystalline Gneiss Basement,18.9,8.3,2.95,0.67
dongri-buzurg,GEO-DON-0025,79.71197,21.55426,42.4,339,Tirodi Crystalline Gneiss Basement,20.1,10.0,2.9,0.69
dongri-buzurg,GEO-DON-0026,79.70738,21.55583,324.5,58,Mansar Quartz-Mica Schist,33.0,6.5,2.85,0.77
dongri-buzurg,GEO-DON-0027,79.71931,21.53422,134.5,244,Hydrothermal Manganiferous Breccia,28.0,7.1,3.13,0.82
dongri-buzurg,GEO-DON-0028,79.72006,21.52855,261.7,118,Gondite Manganese Reef Horizon,42.8,5.3,3.82,0.91
dongri-buzurg,GEO-DON-0029,79.7322,21.5516,133.0,247,Hydrothermal Manganiferous Breccia,27.3,6.0,3.12,0.85
dongri-buzurg,GEO-DON-0030,79.72137,21.54674,319.0,62,Mansar Quartz-Mica Schist,34.7,5.5,2.93,0.82
dongri-buzurg,GEO-DON-0031,79.71692,21.5292,335.6,44,Surface Lateritic Overburden,21.3,6.9,2.63,0.75
dongri-buzurg,GEO-DON-0032,79.7124,21.53322,97.6,283,Hydrothermal Manganiferous Breccia,27.0,7.4,3.02,0.84
dongri-buzurg,GEO-DON-0033,79.72264,21.54947,348.8,32,Surface Lateritic Overburden,22.0,8.9,2.54,0.77
dongri-buzurg,GEO-DON-0034,79.73324,21.54463,338.6,41,Surface Lateritic Overburden,23.5,8.4,2.61,0.76
dongri-buzurg,GEO-DON-0035,79.70821,21.53561,335.9,42,Surface Lateritic Overburden,21.4,8.9,2.66,0.72
dongri-buzurg,GEO-DON-0036,79.72798,21.53505,176.7,201,Gondite Manganese Reef Horizon,40.3,5.7,3.45,0.88
dongri-buzurg,GEO-DON-0037,79.72028,21.55425,280.9,101,Mansar Quartz-Mica Schist,30.5,6.4,2.94,0.8
dongri-buzurg,GEO-DON-0038,79.7076,21.55421,31.9,345,Tirodi Crystalline Gneiss Basement,21.6,9.5,2.79,0.73
dongri-buzurg,GEO-DON-0039,79.71905,21.5365,65.6,316,Tirodi Crystalline Gneiss Basement,19.4,7.7,2.85,0.69
dongri-buzurg,GEO-DON-0040,79.71035,21.54967,120.6,260,Hydrothermal Manganiferous Breccia,27.7,6.9,3.12,0.83
dongri-buzurg,GEO-DON-0041,79.72184,21.53898,213.7,164,Gondite Manganese Reef Horizon,40.2,5.2,4.08,0.91
dongri-buzurg,GEO-DON-0042,79.71616,21.5514,141.9,235,Hydrothermal Manganiferous Breccia,27.7,6.0,3.08,0.78
dongri-buzurg,GEO-DON-0043,79.73127,21.54113,254.3,127,Gondite Manganese Reef Horizon,40.6,5.7,3.52,0.9
dongri-buzurg,GEO-DON-0044,79.72849,21.54811,355.4,27,Surface Lateritic Overburden,20.6,8.9,2.63,0.78
dongri-buzurg,GEO-DON-0045,79.70976,21.53629,297.1,83,Mansar Quartz-Mica Schist,30.8,7.4,2.82,0.77
dongri-buzurg,GEO-DON-0046,79.73442,21.53768,212.8,166,Gondite Manganese Reef Horizon,39.8,4.8,4.09,0.98
dongri-buzurg,GEO-DON-0047,79.73495,21.54737,363.7,16,Surface Lateritic Overburden,21.0,8.0,2.6,0.75
dongri-buzurg,GEO-DON-0048,79.7073,21.53744,317.1,61,Mansar Quartz-Mica Schist,33.3,6.8,3.19,0.76
dongri-buzurg,GEO-DON-0049,79.71971,21.55424,141.1,240,Hydrothermal Manganiferous Breccia,26.9,7.6,3.47,0.8
dongri-buzurg,GEO-DON-0050,79.72494,21.55427,198.1,181,Gondite Manganese Reef Horizon,39.7,6.1,3.88,0.95
dongri-buzurg,GEO-DON-0051,79.72617,21.54002,291.5,87,Mansar Quartz-Mica Schist,31.5,6.8,3.2,0.76
dongri-buzurg,GEO-DON-0052,79.71861,21.55432,38.7,342,Tirodi Crystalline Gneiss Basement,20.9,9.6,2.95,0.66
dongri-buzurg,GEO-DON-0053,79.72643,21.55244,257.4,124,Gondite Manganese Reef Horizon,43.4,5.2,3.97,0.89
dongri-buzurg,GEO-DON-0054,79.70657,21.53794,180.4,197,Gondite Manganese Reef Horizon,37.6,5.7,3.67,0.92
dongri-buzurg,GEO-DON-0055,79.7176,21.53502,286.3,94,Mansar Quartz-Mica Schist,29.5,6.8,3.05,0.81
dongri-buzurg,GEO-DON-0056,79.7323,21.54377,237.1,142,Gondite Manganese Reef Horizon,40.7,5.1,3.67,0.92
dongri-buzurg,GEO-DON-0057,79.72241,21.54644,172.4,209,Gondite Manganese Reef Horizon,40.3,5.7,4.07,0.88
dongri-buzurg,GEO-DON-0058,79.70663,21.54762,299.5,80,Mansar Quartz-Mica Schist,32.4,7.4,2.82,0.87
dongri-buzurg,GEO-DON-0059,79.70944,21.54278,246.3,132,Gondite Manganese Reef Horizon,40.5,5.0,3.96,0.93
dongri-buzurg,GEO-DON-0060,79.72471,21.54968,259.8,119,Gondite Manganese Reef Horizon,41.6,4.7,3.53,0.95
dongri-buzurg,GEO-DON-0061,79.72215,21.54947,305.3,75,Mansar Quartz-Mica Schist,31.1,6.0,3.19,0.81
dongri-buzurg,GEO-DON-0062,79.72291,21.5295,95.9,285,Hydrothermal Manganiferous Breccia,28.2,7.1,3.41,0.83
dongri-buzurg,GEO-DON-0063,79.71276,21.54653,291.3,91,Mansar Quartz-Mica Schist,30.4,7.3,2.94,0.78
dongri-buzurg,GEO-DON-0064,79.71464,21.55288,107.6,276,Hydrothermal Manganiferous Breccia,27.0,6.0,3.31,0.77
dongri-buzurg,GEO-DON-0065,79.71144,21.55031,168.3,211,Gondite Manganese Reef Horizon,40.1,4.7,3.42,0.94
dongri-buzurg,GEO-DON-0066,79.7228,21.53516,164.9,218,Gondite Manganese Reef Horizon,37.6,5.3,4.09,0.89
dongri-buzurg,GEO-DON-0067,79.71853,21.54105,135.0,247,Hydrothermal Manganiferous Breccia,29.3,8.0,3.06,0.72
dongri-buzurg,GEO-DON-0068,79.72375,21.53642,120.8,257,Hydrothermal Manganiferous Breccia,27.1,6.6,3.03,0.78
dongri-buzurg,GEO-DON-0069,79.73041,21.53521,345.1,37,Surface Lateritic Overburden,21.7,8.5,2.61,0.7
dongri-buzurg,GEO-DON-0070,79.72648,21.55802,255.4,126,Gondite Manganese Reef Horizon,44.7,5.7,3.73,0.89
dongri-buzurg,GEO-DON-0071,79.73513,21.53346,175.0,203,Gondite Manganese Reef Horizon,40.4,5.4,3.47,0.93
dongri-buzurg,GEO-DON-0072,79.71683,21.54815,110.9,268,Hydrothermal Manganiferous Breccia,26.3,6.1,3.5,0.84
dongri-buzurg,GEO-DON-0073,79.73166,21.54383,183.5,195,Gondite Manganese Reef Horizon,39.9,5.8,3.49,0.96
dongri-buzurg,GEO-DON-0074,79.72766,21.52928,101.9,276,Hydrothermal Manganiferous Breccia,26.9,6.6,3.04,0.84
dongri-buzurg,GEO-DON-0075,79.71557,21.54011,184.3,200,Gondite Manganese Reef Horizon,38.3,5.4,4.04,0.93
dongri-buzurg,GEO-DON-0076,79.73194,21.53446,32.1,347,Tirodi Crystalline Gneiss Basement,20.6,10.1,2.95,0.72
dongri-buzurg,GEO-DON-0077,79.71554,21.53063,98.6,279,Hydrothermal Manganiferous Breccia,27.6,7.3,3.17,0.85
dongri-buzurg,GEO-DON-0078,79.73107,21.53218,155.9,229,Hydrothermal Manganiferous Breccia,27.6,7.5,3.09,0.78
dongri-buzurg,GEO-DON-0079,79.71079,21.53923,233.0,148,Gondite Manganese Reef Horizon,40.5,5.2,3.62,0.93
dongri-buzurg,GEO-DON-0080,79.70957,21.54742,219.1,162,Gondite Manganese Reef Horizon,38.3,5.6,3.51,0.89
dongri-buzurg,GEO-DON-0081,79.72019,21.52994,102.9,276,Hydrothermal Manganiferous Breccia,27.5,6.1,3.15,0.72
dongri-buzurg,GEO-DON-0082,79.70827,21.54348,130.9,246,Hydrothermal Manganiferous Breccia,29.1,7.2,3.26,0.76
dongri-buzurg,GEO-DON-0083,79.733,21.54169,321.0,58,Mansar Quartz-Mica Schist,31.0,6.3,3.13,0.85
dongri-buzurg,GEO-DON-0084,79.70673,21.54068,107.2,272,Hydrothermal Manganiferous Breccia,28.0,6.4,3.38,0.72
dongri-buzurg,GEO-DON-0085,79.71286,21.52856,184.0,194,Gondite Manganese Reef Horizon,39.6,5.4,3.72,0.96
dongri-buzurg,GEO-DON-0086,79.72105,21.5327,335.3,47,Mansar Quartz-Mica Schist,30.6,6.5,2.95,0.8
dongri-buzurg,GEO-DON-0087,79.72995,21.55496,214.3,168,Gondite Manganese Reef Horizon,38.4,5.2,3.58,0.96
dongri-buzurg,GEO-DON-0088,79.73345,21.54204,355.8,27,Surface Lateritic Overburden,22.1,9.2,2.65,0.74
dongri-buzurg,GEO-DON-0089,79.72195,21.53271,343.2,37,Surface Lateritic Overburden,23.7,8.5,2.42,0.66
dongri-buzurg,GEO-DON-0090,79.70856,21.53034,124.4,254,Hydrothermal Manganiferous Breccia,29.6,6.5,3.17,0.82
dongri-buzurg,GEO-DON-0091,79.71196,21.53342,144.6,236,Hydrothermal Manganiferous Breccia,27.2,7.5,3.13,0.7
