sample_id,lat,lon,swir_band11,swir_band12,magnetic_susceptibility_nt,vein_depth_m,estimated_grade_mn,indicated_tonnes
SWIR-LOC-1046,21.839604,80.304915,0.816,0.253,55.6,57.4,44.31,2038754
SWIR-LOC-1047,21.851722,80.103472,0.211,0.509,58.2,217.3,35.71,1626939
SWIR-LOC-1048,21.769352,80.080843,0.361,0.746,54.0,60.3,38.29,1847670
SWIR-LOC-1049,21.900641,80.116024,0.753,0.332,45.0,75.3,41.42,1991222
SWIR-LOC-1050,21.780622,80.169521,0.707,0.384,25.3,97.8,41.52,2040765
SWIR-LOC-1051,21.650569,80.045171,0.379,0.31,34.6,104.0,37.27,1712371
SWIR-LOC-1052,21.868412,80.211555,0.667,0.564,110.8,279.5,42.03,1930125
SWIR-LOC-1053,21.823526,80.259316,0.624,0.488,87.6,166.6,43.25,2078043
SWIR-LOC-1054,21.685117,80.315921,0.869,0.51,91.4,80.2,44.82,2184239
SWIR-LOC-1055,21.790642,80.171012,0.423,0.567,18.9,290.5,34.55,1621325
SWIR-LOC-1056,21.808762,80.311187,0.516,0.183,55.5,179.5,38.61,1853999
SWIR-LOC-1057,21.787375,80.09336,0.71,0.636,69.5,221.8,40.62,2000701
SWIR-LOC-1058,21.654559,80.200843,0.513,0.56,62.2,190.2,36.05,1733861
SWIR-LOC-1059,21.684866,80.29551,0.222,0.822,25.1,209.8,34.27,1629828
SWIR-LOC-1060,21.699434,80.093983,0.687,0.342,61.0,250.5,38.87,1761940
SWIR-LOC-1061,21.812274,80.229553,0.522,0.256,72.5,292.9,39.59,1954025
SWIR-LOC-1062,21.948654,80.051529,0.848,0.673,-27.2,131.8,41.84,1966530
SWIR-LOC-1063,21.796722,80.219685,0.335,0.832,42.1,312.6,34.07,1710472
SWIR-LOC-1064,21.915031,80.04082,0.469,0.698,71.7,297.6,38.48,1823092
SWIR-LOC-1065,21.714056,80.237812,0.803,0.724,48.9,295.3,39.74,1931572
SWIR-LOC-1066,21.94399,80.043519,0.414,0.228,112.3,300.2,36.4,1728235
SWIR-LOC-1067,21.878009,80.299608,0.854,0.215,60.0,104.8,45.43,2243986
SWIR-LOC-1068,21.673164,80.115545,0.534,0.393,68.9,131.8,40.81,1891583
SWIR-LOC-1069,21.907956,80.052166,0.372,0.32,111.6,175.4,40.21,1822101
SWIR-LOC-1070,21.779347,80.241146,0.769,0.35,72.6,231.9,41.83,1972158
SWIR-LOC-1071,21.783648,80.152997,0.541,0.487,58.4,50.3,43.0,2097199
SWIR-LOC-1072,21.830562,80.162895,0.312,0.329,50.6,266.4,33.68,1573988
SWIR-LOC-1073,21.753776,80.131106,0.549,0.574,112.2,130.8,42.77,1945386
SWIR-LOC-1074,21.856926,80.049254,0.322,0.197,93.6,150.8,38.78,1937841
SWIR-LOC-1075,21.744538,80.199538,0.545,0.276,41.1,83.1,40.96,2007101
SWIR-LOC-1076,21.900839,80.049933,0.365,0.589,44.5,179.0,37.0,1681805
SWIR-LOC-1077,21.735913,80.155116,0.267,0.633,44.5,240.1,34.3,1660100
SWIR-LOC-1078,21.674953,80.098057,0.843,0.721,55.8,178.3,45.65,2119088
SWIR-LOC-1079,21.734232,80.030513,0.384,0.777,9.4,288.2,34.01,1717871
SWIR-LOC-1080,21.922119,80.274587,0.672,0.697,96.3,138.5,42.44,1942697
SWIR-LOC-1081,21.679061,80.291161,0.804,0.337,33.1,312.0,38.74,1820040
SWIR-LOC-1082,21.784422,80.224827,0.708,0.706,-4.8,89.8,41.97,1981112
SWIR-LOC-1083,21.762901,80.064343,0.445,0.357,28.1,219.5,36.44,1655867
SWIR-LOC-1084,21.847806,80.270777,0.505,0.492,108.4,284.6,39.4,1935480
SWIR-LOC-1085,21.900295,80.126919,0.636,0.509,44.8,72.9,43.61,2077950
SWIR-LOC-1086,21.905381,80.138641,0.5,0.32,75.1,46.5,40.25,1965978
SWIR-LOC-1087,21.889631,80.27927,0.691,0.39,76.2,208.9,41.95,2087202
SWIR-LOC-1088,21.761317,80.101383,0.337,0.279,90.7,93.6,38.47,1780161
SWIR-LOC-1089,21.763956,80.273513,0.32,0.53,112.2,52.4,38.22,1895587
SWIR-LOC-1090,21.777783,80.299396,0.477,0.45,66.2,80.4,40.41,1847819
SWIR-LOC-1091,21.724065,80.247925,0.629,0.379,39.6,124.3,39.84,1847357
SWIR-LOC-1092,21.772928,80.155444,0.544,0.438,95.2,157.5,41.86,2028678
SWIR-LOC-1093,21.744301,80.041665,0.493,0.22,105.5,67.7,40.86,2037929
SWIR-LOC-1094,21.71971,80.169012,0.379,0.801,48.0,103.2,40.18,1888059
SWIR-LOC-1095,21.860298,80.094212,0.704,0.547,71.4,98.3,43.64,2002999
SWIR-LOC-1096,21.763719,80.314209,0.247,0.348,98.7,301.9,34.33,1740396
SWIR-LOC-1097,21.904396,80.139749,0.236,0.59,97.1,149.7,35.92,1668284
SWIR-LOC-1098,21.850267,80.096949,0.612,0.313,84.3,138.8,41.98,2067652
SWIR-LOC-1099,21.926166,80.311845,0.868,0.824,96.3,168.6,46.65,2207924
SWIR-LOC-1100,21.922147,80.255383,0.842,0.736,36.9,300.5,41.78,1942441
SWIR-LOC-1101,21.851277,80.042445,0.685,0.778,122.0,45.4,46.82,2239579
SWIR-LOC-1102,21.913887,80.115182,0.791,0.654,79.3,295.2,42.88,2117628
SWIR-LOC-1103,21.847655,80.253637,0.486,0.598,67.9,217.1,38.21,1839399
SWIR-LOC-1104,21.826637,80.244171,0.384,0.187,100.7,177.3,38.27,1810225
SWIR-LOC-1105,21.7502,80.230206,0.478,0.24,78.2,46.8,41.74,1989471
SWIR-LOC-1106,21.736037,80.167552,0.849,0.548,1.0,165.2,41.67,1990194
SWIR-LOC-1107,21.706678,80.167736,0.695,0.478,54.4,140.3,44.39,2027577
SWIR-LOC-1108,21.778796,80.312262,0.767,0.475,49.1,112.7,44.5,2058541
SWIR-LOC-1109,21.827571,80.203462,0.366,0.573,75.5,119.2,39.62,1946614
SWIR-LOC-1110,21.787687,80.092165,0.645,0.601,20.9,99.4,39.33,1796183
SWIR-LOC-1111,21.788108,80.046429,0.364,0.184,139.9,45.6,40.4,1940015
SWIR-LOC-1112,21.837051,80.323243,0.693,0.761,99.5,103.4,43.68,1997618
SWIR-LOC-1113,21.811479,80.054653,0.588,0.383,70.3,106.6,41.23,1943713
SWIR-LOC-1114,21.689844,80.245679,0.614,0.37,102.9,43.1,44.31,2165922
SWIR-LOC-1115,21.877645,80.260778,0.744,0.344,60.6,121.8,43.22,1994502
SWIR-LOC-1116,21.918941,80.244155,0.501,0.426,103.6,54.3,42.33,1938331
SWIR-LOC-1117,21.728049,80.126508,0.498,0.52,82.8,223.1,38.29,1749981
SWIR-LOC-1118,21.800831,80.196396,0.523,0.573,72.1,117.9,42.18,1969436
SWIR-LOC-1119,21.828574,80.119497,0.702,0.498,56.3,96.0,42.27,1933171
SWIR-LOC-1120,21.7299,80.185345,0.481,0.184,34.7,77.9,37.89,1755336
SWIR-LOC-1121,21.707854,80.133511,0.749,0.351,47.9,113.4,43.26,2106215
SWIR-LOC-1122,21.802851,80.109445,0.358,0.632,69.0,218.6,36.45,1833713
SWIR-LOC-1123,21.709372,80.32059,0.801,0.652,64.4,173.6,44.5,2041848
SWIR-LOC-1124,21.947629,80.208733,0.25,0.593,18.6,317.8,31.42,1497241
SWIR-LOC-1125,21.908541,80.322154,0.763,0.747,76.7,316.7,40.82,1929404
SWIR-LOC-1126,21.948835,80.181638,0.341,0.309,40.4,192.0,33.99,1556344
SWIR-LOC-1127,21.892251,80.164235,0.245,0.632,72.6,99.2,35.78,1699525
SWIR-LOC-1128,21.746985,80.148927,0.623,0.518,53.0,46.1,42.75,2048071
SWIR-LOC-1129,21.703619,80.309299,0.334,0.277,42.3,152.0,36.75,1768880
SWIR-LOC-1130,21.794743,80.283287,0.511,0.25,36.7,260.8,39.01,1782568
SWIR-LOC-1131,21.752734,80.302581,0.873,0.461,72.4,89.2,45.5,2059505
SWIR-LOC-1132,21.74696,80.232419,0.26,0.374,89.3,290.4,32.48,1562167
SWIR-LOC-1133,21.832458,80.314331,0.561,0.771,44.6,128.7,39.36,1806251
SWIR-LOC-1134,21.840243,80.062382,0.338,0.238,103.2,304.2,38.52,1836280
SWIR-LOC-1135,21.9058,80.206683,0.455,0.7,103.1,199.4,42.88,2053031
SWIR-LOC-1136,21.767386,80.15541,0.417,0.565,105.3,91.9,39.98,1824885
SWIR-LOC-1137,21.836675,80.290852,0.458,0.603,150.2,44.6,43.77,2082911
SWIR-LOC-1138,21.764976,80.121429,0.478,0.775,-21.1,128.3,38.44,1894885
SWIR-LOC-1139,21.751579,80.246779,0.405,0.315,52.5,222.0,34.05,1576313
SWIR-LOC-1140,21.808531,80.184918,0.346,0.225,35.0,54.0,37.33,1788270
SWIR-LOC-1141,21.919922,80.051848,0.668,0.333,29.7,180.9,41.78,1990509
SWIR-LOC-1142,21.709638,80.144565,0.842,0.581,126.3,220.8,45.72,2184695
SWIR-LOC-1143,21.774907,80.084029,0.302,0.313,67.4,181.4,35.32,1704017
SWIR-LOC-1144,21.666761,80.112562,0.737,0.435,131.3,103.6,45.97,2236316
SWIR-LOC-1145,21.890871,80.197929,0.457,0.634,46.5,300.0,35.65,1633003
SWIR-LOC-1146,21.860085,80.150639,0.508,0.502,74.4,171.3,39.88,1961340
SWIR-LOC-1147,21.899186,80.189674,0.688,0.465,89.1,86.3,45.93,2108170
SWIR-LOC-1148,21.803158,80.199301,0.403,0.243,60.4,293.3,36.84,1842534
SWIR-LOC-1149,21.917087,80.194205,0.867,0.435,34.1,173.4,44.91,2082105
SWIR-LOC-1150,21.726515,80.320631,0.814,0.327,120.9,67.7,46.28,2100060
SWIR-LOC-1151,21.705649,80.182369,0.343,0.232,93.8,196.2,37.41,1762877
SWIR-LOC-1152,21.812126,80.234886,0.625,0.183,124.8,118.6,43.85,2080922
SWIR-LOC-1153,21.917084,80.242376,0.624,0.265,58.4,178.9,40.9,1964328
SWIR-LOC-1154,21.929595,80.216914,0.406,0.198,82.8,65.8,38.12,1866902
SWIR-LOC-1155,21.856107,80.289092,0.726,0.514,20.5,52.8,42.29,2047178
SWIR-LOC-1156,21.885947,80.135775,0.225,0.216,16.7,310.0,32.94,1525651
SWIR-LOC-1157,21.869623,80.224952,0.236,0.18,41.1,46.4,36.96,1828673
SWIR-LOC-1158,21.945278,80.097196,0.723,0.632,70.4,213.8,42.61,2073844
SWIR-LOC-1159,21.718682,80.294614,0.461,0.721,28.8,113.3,37.6,1781745
SWIR-LOC-1160,21.842507,80.295901,0.87,0.233,130.8,69.2,48.48,2283457
SWIR-LOC-1161,21.910284,80.288464,0.789,0.809,24.2,72.6,45.07,2163252
SWIR-LOC-1162,21.919741,80.27175,0.496,0.577,135.7,55.8,44.13,2145891
SWIR-LOC-1163,21.811078,80.033824,0.824,0.202,88.4,304.3,41.22,1969083
SWIR-LOC-1164,21.75004,80.086674,0.813,0.721,89.4,261.6,43.11,1989736
SWIR-LOC-1165,21.736591,80.2675,0.778,0.506,14.0,283.3,39.36,1968773
SWIR-LOC-1166,21.746169,80.32959,0.434,0.785,21.8,59.0,37.41,1832174
SWIR-LOC-1167,21.8992,80.036918,0.481,0.37,45.0,132.6,37.19,1781208
SWIR-LOC-1168,21.837146,80.192255,0.776,0.403,39.1,295.8,40.61,2022446
SWIR-LOC-1169,21.679895,80.069777,0.769,0.252,61.4,185.4,44.23,2160911
SWIR-LOC-1170,21.822633,80.279523,0.603,0.654,103.7,132.1,45.44,2078361
SWIR-LOC-1171,21.678564,80.126889,0.46,0.236,33.2,195.3,36.16,1745924
SWIR-LOC-1172,21.692181,80.206731,0.316,0.248,66.0,249.5,34.7,1754895
SWIR-LOC-1173,21.7642,80.143145,0.524,0.54,103.4,314.9,37.53,1727246
SWIR-LOC-1174,21.744496,80.183192,0.546,0.276,43.0,121.8,37.45,1712825
SWIR-LOC-1175,21.925267,80.097386,0.28,0.831,117.7,249.7,37.58,1752289
SWIR-LOC-1176,21.930127,80.04745,0.793,0.275,80.4,179.4,43.8,2141396
SWIR-LOC-1177,21.818986,80.264389,0.716,0.792,50.7,106.3,43.09,1950811
SWIR-LOC-1178,21.902865,80.294135,0.364,0.578,31.5,288.9,34.0,1608283
SWIR-LOC-1179,21.677188,80.17867,0.875,0.35,59.8,86.6,44.34,2034127
SWIR-LOC-1180,21.867784,80.306378,0.475,0.654,61.5,260.2,37.66,1780700
SWIR-LOC-1181,21.890579,80.177214,0.692,0.755,52.4,162.6,42.35,2067497
SWIR-LOC-1182,21.93616,80.167533,0.473,0.272,57.8,53.9,40.61,1937259
SWIR-LOC-1183,21.789189,80.077515,0.741,0.24,105.6,87.8,44.37,2042222
SWIR-LOC-1184,21.922531,80.048911,0.418,0.306,62.1,119.3,38.22,1750877
SWIR-LOC-1185,21.918921,80.040473,0.742,0.621,73.0,279.5,40.96,1956829
SWIR-LOC-1186,21.69361,80.266649,0.466,0.369,30.9,312.6,34.81,1699073
SWIR-LOC-1187,21.890672,80.08904,0.414,0.408,90.2,104.1,39.13,1925032
SWIR-LOC-1188,21.669856,80.110269,0.872,0.524,75.6,76.3,46.29,2143836
SWIR-LOC-1189,21.742436,80.065226,0.772,0.542,17.0,141.8,43.66,1976682
SWIR-LOC-1190,21.928811,80.08596,0.23,0.299,40.3,133.5,34.0,1614074
SWIR-LOC-1191,21.866443,80.122297,0.39,0.402,102.4,288.2,39.41,1791209
SWIR-LOC-1192,21.938252,80.065108,0.855,0.549,87.8,41.3,47.1,2181375
SWIR-LOC-1193,21.792908,80.139826,0.506,0.68,82.0,175.1,40.49,1878111
SWIR-LOC-1194,21.903444,80.240892,0.41,0.418,69.2,43.5,38.47,1919128
SWIR-LOC-1195,21.70862,80.242967,0.623,0.483,96.4,101.7,43.05,2016625
SWIR-LOC-1196,21.746,80.203983,0.29,0.483,90.4,236.0,36.64,1776969
SWIR-LOC-1197,21.813136,80.099749,0.42,0.565,65.6,73.0,39.16,1938338
SWIR-LOC-1198,21.873862,80.254422,0.365,0.326,39.6,61.8,38.33,1777876
SWIR-LOC-1199,21.931986,80.269956,0.726,0.526,30.3,86.0,46.34,2139112
SWIR-LOC-1200,21.817411,80.14737,0.842,0.371,28.8,280.5,41.32,2031707
SWIR-LOC-1201,21.857847,80.143691,0.802,0.713,-16.4,85.1,41.33,1969522
SWIR-LOC-1202,21.718741,80.272158,0.69,0.217,12.1,311.8,37.62,1830479
SWIR-LOC-1203,21.846805,80.249475,0.652,0.438,31.5,167.4,42.41,2105230
SWIR-LOC-1204,21.904274,80.112831,0.701,0.447,33.7,44.0,42.96,2003277
SWIR-LOC-1205,21.807907,80.14324,0.696,0.289,71.2,267.8,41.03,2013075
SWIR-LOC-1206,21.786761,80.226668,0.441,0.414,124.5,245.5,39.63,1871258
SWIR-LOC-1207,21.89904,80.042698,0.725,0.632,59.3,163.9,44.03,2180681
SWIR-LOC-1208,21.923384,80.250152,0.482,0.359,32.7,158.6,38.34,1801352
SWIR-LOC-1209,21.816817,80.3137,0.831,0.423,57.3,77.9,43.26,1964385
SWIR-LOC-1210,21.757528,80.144851,0.339,0.455,95.8,182.2,38.85,1865625
SWIR-LOC-1211,21.930905,80.046469,0.731,0.366,90.2,249.0,45.29,2096035
SWIR-LOC-1212,21.929022,80.062271,0.43,0.535,85.3,107.5,38.11,1752952
SWIR-LOC-1213,21.947021,80.259093,0.484,0.591,118.7,138.3,40.2,1918968
SWIR-LOC-1214,21.779139,80.235288,0.67,0.261,18.1,210.5,37.76,1874245
SWIR-LOC-1215,21.696066,80.286788,0.508,0.846,15.8,245.8,35.63,1708068
SWIR-LOC-1216,21.671134,80.195697,0.275,0.471,56.8,147.2,33.92,1560764
SWIR-LOC-1217,21.726945,80.055183,0.553,0.443,23.6,256.8,36.68,1773599
SWIR-LOC-1218,21.699208,80.163268,0.253,0.848,64.9,262.0,36.1,1638489
SWIR-LOC-1219,21.667891,80.076667,0.662,0.362,83.0,278.0,41.25,1916822
SWIR-LOC-1220,21.675929,80.186913,0.499,0.605,50.2,117.1,39.98,1976841
SWIR-LOC-1221,21.938086,80.147184,0.86,0.35,27.0,133.2,42.73,2024319
SWIR-LOC-1222,21.829736,80.066918,0.765,0.735,86.4,263.8,41.61,2055936
SWIR-LOC-1223,21.922686,80.112973,0.775,0.41,25.4,241.3,38.9,1853663
SWIR-LOC-1224,21.669623,80.23937,0.417,0.836,72.1,72.6,40.02,1888763
SWIR-LOC-1225,21.729557,80.283456,0.617,0.444,69.5,77.3,44.42,2144243
SWIR-LOC-1226,21.727202,80.3133,0.689,0.529,63.4,297.7,40.94,1985413
SWIR-LOC-1227,21.867451,80.306628,0.387,0.709,19.7,249.8,32.49,1618340
SWIR-LOC-1228,21.676466,80.311259,0.304,0.295,79.4,253.7,33.93,1678026
SWIR-LOC-1229,21.783964,80.064611,0.546,0.239,44.0,105.4,39.0,1830921
SWIR-LOC-1230,21.764375,80.188438,0.864,0.828,95.0,113.3,43.96,2143042
SWIR-LOC-1231,21.789671,80.092368,0.21,0.698,101.8,52.5,39.13,1814483
SWIR-LOC-1232,21.715602,80.16178,0.285,0.65,34.3,119.5,35.13,1627952
SWIR-LOC-1233,21.838763,80.152162,0.737,0.249,34.7,245.6,39.85,1893174
SWIR-LOC-1234,21.948945,80.118351,0.571,0.506,139.4,138.3,42.83,2094670
SWIR-LOC-1235,21.719266,80.205818,0.201,0.342,77.9,239.6,35.02,1713097
SWIR-LOC-1236,21.762615,80.118575,0.63,0.74,90.4,163.3,42.26,1986639
SWIR-LOC-1237,21.861663,80.078953,0.235,0.181,20.2,69.1,35.07,1664723
SWIR-LOC-1238,21.677114,80.046775,0.684,0.269,17.1,281.7,40.29,1973706
SWIR-LOC-1239,21.823709,80.047138,0.397,0.737,63.6,170.6,37.99,1877038
SWIR-LOC-1240,21.87336,80.309063,0.612,0.685,34.5,98.6,41.74,1997327
SWIR-LOC-1241,21.876925,80.091473,0.512,0.694,46.0,111.8,39.44,1931720
SWIR-LOC-1242,21.825662,80.078245,0.423,0.185,63.5,79.1,40.5,1979722
SWIR-LOC-1243,21.765361,80.231286,0.387,0.427,75.2,312.2,35.51,1786228
SWIR-LOC-1244,21.938188,80.297027,0.483,0.467,29.4,286.4,35.5,1725151
SWIR-LOC-1245,21.856723,80.198264,0.32,0.193,39.2,150.1,36.7,1777623
SWIR-LOC-1246,21.841141,80.131754,0.22,0.712,161.4,126.0,39.23,1889408
SWIR-LOC-1247,21.926266,80.137172,0.388,0.207,69.4,197.6,37.6,1709154
SWIR-LOC-1248,21.753447,80.078324,0.797,0.786,99.2,226.1,45.32,2087229
SWIR-LOC-1249,21.837059,80.101816,0.527,0.776,90.2,219.2,38.5,1929976
SWIR-LOC-1250,21.788521,80.326115,0.819,0.347,70.0,295.1,41.87,1908306
SWIR-LOC-1251,21.723699,80.108451,0.214,0.518,42.5,291.8,32.74,1622657
SWIR-LOC-1252,21.675393,80.035077,0.37,0.547,4.4,148.6,35.18,1666741
SWIR-LOC-1253,21.765487,80.121811,0.474,0.484,28.7,316.9,35.13,1697584
SWIR-LOC-1254,21.91279,80.037155,0.863,0.528,85.2,94.8,42.63,1986214
SWIR-LOC-1255,21.893515,80.20293,0.681,0.758,65.9,243.0,42.98,2065731
SWIR-LOC-1256,21.848837,80.13421,0.656,0.461,112.2,77.1,46.07,2183241
SWIR-LOC-1257,21.821926,80.104502,0.459,0.744,39.4,108.5,37.62,1842680
SWIR-LOC-1258,21.868123,80.278053,0.717,0.749,82.2,202.9,43.26,2065708
SWIR-LOC-1259,21.873816,80.304385,0.324,0.271,69.6,243.6,36.43,1767953
SWIR-LOC-1260,21.703194,80.089849,0.676,0.556,70.7,103.5,43.09,1977092
SWIR-LOC-1261,21.706294,80.175098,0.505,0.717,73.0,143.7,40.85,1914428
SWIR-LOC-1262,21.718641,80.288292,0.864,0.754,105.6,186.5,47.44,2203278
SWIR-LOC-1263,21.74063,80.32527,0.629,0.788,113.9,163.8,41.32,1907626
SWIR-LOC-1264,21.774666,80.097891,0.243,0.359,102.5,232.8,34.99,1656316
SWIR-LOC-1265,21.813475,80.122132,0.374,0.844,54.4,185.0,36.67,1687404
SWIR-LOC-1266,21.859038,80.128164,0.798,0.376,58.1,53.7,42.72,1993683
SWIR-LOC-1267,21.71041,80.094819,0.539,0.543,82.5,200.9,43.01,2133089
SWIR-LOC-1268,21.754434,80.040755,0.642,0.447,97.6,57.9,45.72,2120178
SWIR-LOC-1269,21.738762,80.256398,0.61,0.501,77.0,249.4,39.99,1813518
SWIR-LOC-1270,21.795087,80.276102,0.858,0.45,66.7,160.1,47.04,2185441
SWIR-LOC-1271,21.676275,80.228069,0.314,0.511,57.5,184.3,36.02,1798995
SWIR-LOC-1272,21.718392,80.083116,0.735,0.263,87.9,68.2,45.43,2064532
SWIR-LOC-1273,21.766937,80.101511,0.464,0.26,30.3,135.4,34.54,1632601
SWIR-LOC-1274,21.785347,80.146789,0.725,0.677,87.0,127.9,44.51,2101260
SWIR-LOC-1275,21.942343,80.095753,0.406,0.818,72.9,179.7,37.87,1872068
SWIR-LOC-1276,21.651306,80.280926,0.837,0.357,65.4,67.0,45.96,2213453
SWIR-LOC-1277,21.70043,80.215297,0.58,0.81,51.7,44.8,40.73,2010736
SWIR-LOC-1278,21.846775,80.073907,0.46,0.82,46.9,92.3,39.99,1906798
SWIR-LOC-1279,21.86537,80.293308,0.26,0.3,95.6,105.3,38.92,1918733
SWIR-LOC-1280,21.880262,80.127098,0.871,0.316,78.3,147.3,47.08,2236351
SWIR-LOC-1281,21.918344,80.125699,0.772,0.262,-16.0,271.9,37.15,1829822
SWIR-LOC-1282,21.793613,80.298789,0.276,0.546,65.2,70.8,37.21,1791877
SWIR-LOC-1283,21.72894,80.291985,0.482,0.253,72.7,315.8,39.95,1976123
SWIR-LOC-1284,21.673041,80.086104,0.519,0.441,79.5,312.9,37.89,1746809
SWIR-LOC-1285,21.900456,80.161358,0.826,0.339,104.0,69.8,49.19,2324253
SWIR-LOC-1286,21.694823,80.039152,0.436,0.258,97.2,115.3,40.65,1917713
SWIR-LOC-1287,21.796923,80.031303,0.809,0.837,39.2,304.4,40.15,1827930
SWIR-LOC-1288,21.8867,80.227505,0.667,0.478,104.1,207.7,43.92,2155416
SWIR-LOC-1289,21.935597,80.187298,0.424,0.589,101.3,105.3,40.49,1983028
SWIR-LOC-1290,21.821606,80.20495,0.86,0.382,60.1,245.1,43.98,2147648
SWIR-LOC-1291,21.750988,80.085104,0.752,0.402,82.6,232.3,42.2,2009136
SWIR-LOC-1292,21.695656,80.277533,0.264,0.786,-6.0,169.6,32.35,1614826
SWIR-LOC-1293,21.827224,80.197027,0.572,0.833,88.5,82.8,39.45,1966998
SWIR-LOC-1294,21.685464,80.034965,0.281,0.737,75.0,182.3,37.59,1769742
SWIR-LOC-1295,21.693646,80.223791,0.843,0.782,45.6,218.6,42.93,2098615
SWIR-LOC-1296,21.827232,80.031803,0.25,0.419,91.3,142.3,39.3,1797291
SWIR-LOC-1297,21.809344,80.209152,0.359,0.441,77.6,128.8,36.84,1792110
SWIR-LOC-1298,21.905356,80.107086,0.848,0.635,55.1,57.5,45.18,2066569
SWIR-LOC-1299,21.707184,80.292117,0.757,0.58,54.5,98.6,42.11,2085177
SWIR-LOC-1300,21.929656,80.1633,0.817,0.706,77.4,91.1,46.51,2284967
