date,mine_id,rainfall_mm,rainfall_7d_mm,rainfall_anomaly,water_risk_index,soil_saturation_index
2025-06-10,balaghat,9.6,14.4,-0.44,0.103,0.108
2025-06-11,balaghat,16.5,30.9,-0.09,0.205,0.232
2025-06-12,balaghat,31.4,62.3,0.65,0.406,0.467
2025-06-13,balaghat,2.1,64.4,-0.89,0.298,0.483
2025-06-14,balaghat,17.9,82.2,-0.14,0.441,0.616
2025-06-15,balaghat,13.4,95.6,-0.39,0.484,0.717
2025-06-16,balaghat,20.3,111.2,-0.12,0.582,0.834
2025-06-17,balaghat,11.5,113.1,-0.52,0.555,0.848
2025-06-18,balaghat,18.2,114.8,-0.28,0.589,0.861
2025-06-19,balaghat,12.4,95.8,-0.53,0.48,0.718
2025-06-20,balaghat,4.0,97.7,-0.85,0.456,0.733
2025-06-21,balaghat,19.7,99.5,-0.31,0.526,0.746
2025-06-22,balaghat,5.7,91.8,-0.81,0.436,0.689
2025-06-23,balaghat,22.2,93.7,-0.29,0.511,0.703
2025-06-24,balaghat,31.1,113.3,-0.04,0.634,0.85
2025-06-25,balaghat,7.1,102.2,-0.79,0.489,0.767
2025-06-26,balaghat,16.8,106.6,-0.52,0.547,0.8
2025-06-27,balaghat,28.2,130.8,-0.23,0.701,0.981
2025-06-28,balaghat,13.7,124.8,-0.64,0.616,0.936
2025-06-29,balaghat,78.9,198.0,1.02,0.916,1.0
2025-06-30,balaghat,18.9,194.7,-0.53,0.676,1.0
2025-07-01,balaghat,8.2,171.8,-0.8,0.633,1.0
2025-07-02,balaghat,36.1,200.8,-0.16,0.744,1.0
2025-07-03,balaghat,17.9,201.9,-0.6,0.672,1.0
2025-07-04,balaghat,33.4,207.1,-0.27,0.734,1.0
2025-07-05,balaghat,14.7,208.1,-0.69,0.659,1.0
2025-07-06,balaghat,36.3,165.5,-0.25,0.745,1.0
2025-07-07,balaghat,10.3,156.9,-0.79,0.641,1.0
2025-07-08,balaghat,15.3,164.0,-0.7,0.661,1.0
2025-07-09,balaghat,36.0,163.9,-0.31,0.744,1.0
2025-07-10,balaghat,70.3,216.3,0.31,0.881,1.0
2025-07-11,balaghat,49.0,231.9,-0.11,0.796,1.0
2025-07-12,balaghat,26.1,243.3,-0.53,0.704,1.0
2025-07-13,balaghat,11.5,218.5,-0.8,0.646,1.0
2025-07-14,balaghat,62.6,270.8,0.08,0.85,1.0
2025-07-15,balaghat,33.1,288.6,-0.44,0.732,1.0
2025-07-16,balaghat,32.6,285.2,-0.46,0.73,1.0
2025-07-17,balaghat,68.0,282.9,0.11,0.872,1.0
2025-07-18,balaghat,28.1,262.0,-0.55,0.712,1.0
2025-07-19,balaghat,33.5,269.4,-0.47,0.734,1.0
2025-07-20,balaghat,32.6,290.5,-0.49,0.73,1.0
2025-07-21,balaghat,32.7,260.6,-0.49,0.731,1.0
2025-07-22,balaghat,14.5,242.0,-0.78,0.658,1.0
2025-07-23,balaghat,5.3,214.7,-0.92,0.621,1.0
2025-07-24,balaghat,38.2,184.9,-0.42,0.753,1.0
2025-07-25,balaghat,14.3,171.1,-0.78,0.657,1.0
2025-07-26,balaghat,23.3,160.9,-0.65,0.693,1.0
2025-07-27,balaghat,44.0,172.3,-0.34,0.776,1.0
2025-07-28,balaghat,9.9,149.5,-0.85,0.64,1.0
2025-07-29,balaghat,119.9,254.9,0.8,0.99,1.0
2025-07-30,balaghat,92.1,341.7,0.38,0.968,1.0
2025-07-31,balaghat,30.5,334.0,-0.54,0.722,1.0
2025-08-01,balaghat,40.9,360.6,-0.38,0.764,1.0
2025-08-02,balaghat,21.2,358.5,-0.68,0.685,1.0
2025-08-03,balaghat,6.2,320.7,-0.91,0.625,1.0
2025-08-04,balaghat,15.8,326.6,-0.76,0.663,1.0
2025-08-05,balaghat,81.3,288.0,0.26,0.925,1.0
2025-08-06,balaghat,36.3,232.2,-0.43,0.745,1.0
2025-08-07,balaghat,6.4,208.1,-0.9,0.626,1.0
2025-08-08,balaghat,36.9,204.1,-0.41,0.748,1.0
2025-08-09,balaghat,77.3,260.2,0.25,0.909,1.0
2025-08-10,balaghat,15.3,269.3,-0.75,0.661,1.0
2025-08-11,balaghat,8.8,262.3,-0.85,0.635,1.0
2025-08-12,balaghat,22.3,203.3,-0.62,0.689,1.0
2025-08-13,balaghat,81.0,248.0,0.39,0.924,1.0
2025-08-14,balaghat,8.2,249.8,-0.86,0.633,1.0
2025-08-15,balaghat,23.3,236.2,-0.58,0.693,1.0
2025-08-16,balaghat,64.1,223.0,0.17,0.856,1.0
2025-08-17,balaghat,55.6,263.3,0.04,0.822,1.0
2025-08-18,balaghat,24.4,278.9,-0.53,0.698,1.0
2025-08-19,balaghat,88.8,345.4,0.74,0.955,1.0
2025-08-20,balaghat,19.1,283.5,-0.62,0.676,1.0
2025-08-21,balaghat,22.6,297.9,-0.53,0.69,1.0
2025-08-22,balaghat,3.2,277.8,-0.93,0.613,1.0
2025-08-23,balaghat,45.9,259.6,0.0,0.784,1.0
2025-08-24,balaghat,31.3,235.3,-0.3,0.725,1.0
2025-08-25,balaghat,20.0,230.9,-0.54,0.68,1.0
2025-08-26,balaghat,12.6,154.7,-0.7,0.65,1.0
2025-08-27,balaghat,20.5,156.1,-0.49,0.682,1.0
2025-08-28,balaghat,10.4,143.9,-0.73,0.642,1.0
2025-08-29,balaghat,12.5,153.2,-0.67,0.65,1.0
2025-08-30,balaghat,20.3,127.6,-0.44,0.655,0.957
2025-08-31,balaghat,22.5,118.8,-0.36,0.625,0.891
2025-09-01,balaghat,21.1,119.9,-0.37,0.624,0.899
2025-09-02,balaghat,7.8,115.1,-0.76,0.549,0.863
2025-09-03,balaghat,2.4,97.0,-0.92,0.446,0.728
2025-09-04,balaghat,4.4,91.0,-0.85,0.427,0.682
2025-09-05,balaghat,31.6,110.1,0.1,0.622,0.826
2025-09-06,balaghat,8.2,98.0,-0.7,0.474,0.735
2025-09-07,balaghat,11.0,86.5,-0.58,0.433,0.649
2025-09-08,balaghat,19.1,84.5,-0.24,0.457,0.634
2025-09-09,balaghat,8.2,84.9,-0.66,0.415,0.637
2025-09-10,balaghat,16.4,98.9,-0.29,0.511,0.742
2025-09-11,balaghat,7.2,101.7,-0.67,0.487,0.763
2025-09-12,balaghat,5.1,75.2,-0.76,0.359,0.564
2025-09-13,balaghat,24.7,91.7,0.24,0.512,0.688
2025-09-14,balaghat,14.8,95.5,-0.22,0.489,0.716
2025-09-15,balaghat,15.1,91.5,-0.17,0.472,0.686
2025-09-16,balaghat,2.3,85.6,-0.87,0.394,0.642
2025-09-17,balaghat,3.5,72.7,-0.79,0.341,0.545
2025-09-18,balaghat,0.0,65.5,-1.0,0.295,0.491
2025-09-19,balaghat,0.3,60.7,-0.92,0.274,0.455
2025-09-20,balaghat,0.0,36.0,-1.0,0.162,0.27
2025-09-21,balaghat,0.0,21.2,-1.0,0.095,0.159
2025-09-22,balaghat,0.0,6.1,-1.0,0.03,0.05
2025-09-23,balaghat,0.0,3.8,-1.0,0.03,0.05
2025-09-24,balaghat,0.0,0.3,-1.0,0.03,0.05
2025-09-25,balaghat,0.0,0.3,-1.0,0.03,0.05
2025-09-26,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-09-27,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-09-28,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-09-29,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-09-30,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-10-01,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-10-02,balaghat,0.4,0.4,-0.89,0.032,0.05
2025-10-03,balaghat,0.0,0.4,-1.0,0.03,0.05
2025-10-04,balaghat,0.0,0.4,-1.0,0.03,0.05
2025-10-05,balaghat,3.4,3.8,-0.06,0.044,0.05
2025-10-06,balaghat,0.0,3.8,-1.0,0.03,0.05
2025-10-07,balaghat,0.0,3.8,-1.0,0.03,0.05
2025-10-08,balaghat,0.0,3.8,-1.0,0.03,0.05
2025-10-09,balaghat,0.0,3.4,-1.0,0.03,0.05
2025-10-10,balaghat,0.0,3.4,-1.0,0.03,0.05
2025-10-11,balaghat,0.0,3.4,-1.0,0.03,0.05
2025-10-12,balaghat,0.1,0.1,-0.97,0.03,0.05
2025-10-13,balaghat,0.0,0.1,-1.0,0.03,0.05
2025-10-14,balaghat,0.0,0.1,-1.0,0.03,0.05
2025-10-15,balaghat,0.0,0.1,-1.0,0.03,0.05
2025-10-16,balaghat,0.0,0.1,-1.0,0.03,0.05
2025-10-17,balaghat,0.0,0.1,-1.0,0.03,0.05
2025-10-18,balaghat,0.0,0.1,-1.0,0.03,0.05
2025-10-19,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-10-20,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-10-21,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-10-22,balaghat,0.4,0.4,-0.89,0.032,0.05
2025-10-23,balaghat,0.0,0.4,-1.0,0.03,0.05
2025-10-24,balaghat,0.2,0.6,-0.94,0.031,0.05
2025-10-25,balaghat,0.0,0.6,-1.0,0.03,0.05
2025-10-26,balaghat,0.0,0.6,-1.0,0.03,0.05
2025-10-27,balaghat,0.6,1.2,-0.83,0.032,0.05
2025-10-28,balaghat,0.1,1.3,-0.97,0.03,0.05
2025-10-29,balaghat,0.0,0.9,-1.0,0.03,0.05
2025-10-30,balaghat,0.6,1.5,-0.83,0.032,0.05
2025-10-31,balaghat,0.0,1.3,-1.0,0.03,0.05
2025-11-01,balaghat,0.0,1.3,-1.0,0.03,0.05
2025-11-02,balaghat,0.0,1.3,-1.0,0.03,0.05
2025-11-03,balaghat,0.0,0.7,-1.0,0.03,0.05
2025-11-04,balaghat,0.0,0.6,-1.0,0.03,0.05
2025-11-05,balaghat,0.0,0.6,-1.0,0.03,0.05
2025-11-06,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-11-07,balaghat,1.8,1.8,-0.5,0.037,0.05
2025-11-08,balaghat,0.0,1.8,-1.0,0.03,0.05
2025-11-09,balaghat,0.0,1.8,-1.0,0.03,0.05
2025-11-10,balaghat,0.0,1.8,-1.0,0.03,0.05
2025-11-11,balaghat,0.0,1.8,-1.0,0.03,0.05
2025-11-12,balaghat,0.0,1.8,-1.0,0.03,0.05
2025-11-13,balaghat,0.0,1.8,-1.0,0.03,0.05
2025-11-14,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-11-15,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-11-16,balaghat,3.4,3.4,-0.06,0.044,0.05
2025-11-17,balaghat,0.0,3.4,-1.0,0.03,0.05
2025-11-18,balaghat,0.0,3.4,-1.0,0.03,0.05
2025-11-19,balaghat,0.0,3.4,-1.0,0.03,0.05
2025-11-20,balaghat,0.0,3.4,-1.0,0.03,0.05
2025-11-21,balaghat,0.0,3.4,-1.0,0.03,0.05
2025-11-22,balaghat,0.0,3.4,-1.0,0.03,0.05
2025-11-23,balaghat,1.4,1.4,-0.61,0.036,0.05
2025-11-24,balaghat,1.0,2.4,-0.72,0.034,0.05
2025-11-25,balaghat,0.0,2.4,-1.0,0.03,0.05
2025-11-26,balaghat,0.0,2.4,-1.0,0.03,0.05
2025-11-27,balaghat,1.6,4.0,-0.56,0.036,0.05
2025-11-28,balaghat,0.0,4.0,-1.0,0.03,0.05
2025-11-29,balaghat,0.0,4.0,-1.0,0.03,0.05
2025-11-30,balaghat,0.0,2.6,-1.0,0.03,0.05
2025-12-01,balaghat,0.0,1.6,-1.0,0.03,0.05
2025-12-02,balaghat,0.1,1.7,-0.97,0.03,0.05
2025-12-03,balaghat,0.0,1.7,-1.0,0.03,0.05
2025-12-04,balaghat,0.0,0.1,-1.0,0.03,0.05
2025-12-05,balaghat,1.5,1.6,-0.58,0.036,0.05
2025-12-06,balaghat,0.0,1.6,-1.0,0.03,0.05
2025-12-07,balaghat,0.0,1.6,-1.0,0.03,0.05
2025-12-08,balaghat,0.0,1.6,-1.0,0.03,0.05
2025-12-09,balaghat,0.0,1.5,-1.0,0.03,0.05
2025-12-10,balaghat,0.0,1.5,-1.0,0.03,0.05
2025-12-11,balaghat,1.3,2.8,-0.64,0.035,0.05
2025-12-12,balaghat,4.6,5.9,0.28,0.048,0.05
2025-12-13,balaghat,0.0,5.9,-1.0,0.03,0.05
2025-12-14,balaghat,0.0,5.9,-1.0,0.03,0.05
2025-12-15,balaghat,1.5,7.4,-0.58,0.04,0.056
2025-12-16,balaghat,0.0,7.4,-1.0,0.034,0.056
2025-12-17,balaghat,0.0,7.4,-1.0,0.034,0.056
2025-12-18,balaghat,0.0,6.1,-1.0,0.03,0.05
2025-12-19,balaghat,0.7,2.2,-0.81,0.033,0.05
2025-12-20,balaghat,0.0,2.2,-1.0,0.03,0.05
2025-12-21,balaghat,0.0,2.2,-1.0,0.03,0.05
2025-12-22,balaghat,0.0,0.7,-1.0,0.03,0.05
2025-12-23,balaghat,0.0,0.7,-1.0,0.03,0.05
2025-12-24,balaghat,0.0,0.7,-1.0,0.03,0.05
2025-12-25,balaghat,0.0,0.7,-1.0,0.03,0.05
2025-12-26,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-12-27,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-12-28,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-12-29,balaghat,0.6,0.6,-0.83,0.032,0.05
2025-12-30,balaghat,0.0,0.6,-1.0,0.03,0.05
2025-12-31,balaghat,0.4,1.0,-0.89,0.032,0.05
2026-01-01,balaghat,0.0,1.0,-1.0,0.03,0.05
2026-01-02,balaghat,0.0,1.0,-1.0,0.03,0.05
2026-01-03,balaghat,0.0,1.0,-1.0,0.03,0.05
2026-01-04,balaghat,0.0,1.0,-1.0,0.03,0.05
2026-01-05,balaghat,0.0,0.4,-1.0,0.03,0.05
2026-01-06,balaghat,0.0,0.4,-1.0,0.03,0.05
2026-01-07,balaghat,0.0,0.0,-1.0,0.03,0.05
2026-01-08,balaghat,0.0,0.0,-1.0,0.03,0.05
2026-01-09,balaghat,0.0,0.0,-1.0,0.03,0.05
2026-01-10,balaghat,0.0,0.0,-1.0,0.03,0.05
2026-01-11,balaghat,0.0,0.0,-1.0,0.03,0.05
2026-01-12,balaghat,0.0,0.0,-1.0,0.03,0.05
2026-01-13,balaghat,0.3,0.3,-0.92,0.031,0.05
2026-01-14,balaghat,0.0,0.3,-1.0,0.03,0.05
2026-01-15,balaghat,0.0,0.3,-1.0,0.03,0.05
2026-01-16,balaghat,0.0,0.3,-1.0,0.03,0.05
2026-01-17,balaghat,0.0,0.3,-1.0,0.03,0.05
2026-01-18,balaghat,2.4,2.7,-0.33,0.04,0.05
2026-01-19,balaghat,0.0,2.7,-1.0,0.03,0.05
2026-01-20,balaghat,0.5,2.9,-0.86,0.032,0.05
2026-01-21,balaghat,0.0,2.9,-1.0,0.03,0.05
2026-01-22,balaghat,0.0,2.9,-1.0,0.03,0.05
2026-01-23,balaghat,0.5,3.4,-0.86,0.032,0.05
2026-01-24,balaghat,0.0,3.4,-1.0,0.03,0.05
2026-01-25,balaghat,0.0,1.0,-1.0,0.03,0.05
2026-01-26,balaghat,0.0,1.0,-1.0,0.03,0.05
2026-01-27,balaghat,0.0,0.5,-1.0,0.03,0.05
2026-01-28,balaghat,0.0,0.5,-1.0,0.03,0.05
2026-01-29,balaghat,0.0,0.5,-1.0,0.03,0.05
2026-01-30,balaghat,0.0,0.0,-1.0,0.03,0.05
2026-01-31,balaghat,0.0,0.0,-1.0,0.03,0.05
2026-02-01,balaghat,0.0,0.0,-1.0,0.03,0.05
2026-02-02,balaghat,0.0,0.0,-1.0,0.03,0.05
2026-02-03,balaghat,0.0,0.0,-1.0,0.03,0.05
2026-02-04,balaghat,0.5,0.5,-0.86,0.032,0.05
2026-02-05,balaghat,0.0,0.5,-1.0,0.03,0.05
2026-02-06,balaghat,0.0,0.5,-1.0,0.03,0.05
2026-02-07,balaghat,0.0,0.5,-1.0,0.03,0.05
2026-02-08,balaghat,0.0,0.5,-1.0,0.03,0.05
2026-02-09,balaghat,0.0,0.5,-1.0,0.03,0.05
2026-02-10,balaghat,0.0,0.5,-1.0,0.03,0.05
2026-02-11,balaghat,0.0,0.0,-1.0,0.03,0.05
2026-02-12,balaghat,0.0,0.0,-1.0,0.03,0.05
2026-02-13,balaghat,0.0,0.0,-1.0,0.03,0.05
2026-02-14,balaghat,0.0,0.0,-1.0,0.03,0.05
2026-02-15,balaghat,0.0,0.0,-1.0,0.03,0.05
2026-02-16,balaghat,0.0,0.0,-1.0,0.03,0.05
2026-02-17,balaghat,0.0,0.0,-1.0,0.03,0.05
2026-02-18,balaghat,0.0,0.0,-1.0,0.03,0.05
2026-02-19,balaghat,0.0,0.0,-1.0,0.03,0.05
2026-02-20,balaghat,0.0,0.0,-1.0,0.03,0.05
2026-02-21,balaghat,0.0,0.0,-1.0,0.03,0.05
2026-02-22,balaghat,0.0,0.0,-1.0,0.03,0.05
2026-02-23,balaghat,2.0,2.0,-0.44,0.038,0.05
2026-02-24,balaghat,0.0,2.0,-1.0,0.03,0.05
2026-02-25,balaghat,0.0,2.0,-1.0,0.03,0.05
