date,mine_id,mine_name,planned_tonnage,actual_tonnage,ore_grade_mn,recovery_rate,crusher_utilization,fleet_availability,operating_hours,downtime_hours,rainfall_mm,shortfall_tonnes,shortfall_percentage,shortfall_event,production_trend_7d,production_trend_30d,shortfall_rate,target_deviation,rolling_downtime_7d
2025-01-22,balaghat,Balaghat Deep Shaft,6200,4796,44.2,85.9,92.4,87.6,22.5,1.5,0.0,1404,22.6,1,5128.6,5116.3,18.46,-0.2265,7.5
2025-01-23,balaghat,Balaghat Deep Shaft,6200,5037,43.7,85.1,89.7,90.5,23.3,0.7,0.0,1163,18.8,1,5095.0,5112.9,18.54,-0.1876,7.7
2025-01-24,balaghat,Balaghat Deep Shaft,6200,5413,45.0,88.2,92.6,92.1,22.7,1.3,0.0,787,12.7,1,5130.0,5125.4,17.08,-0.1269,8.0
2025-01-25,balaghat,Balaghat Deep Shaft,6200,5083,44.9,85.7,90.0,87.9,23.0,1.0,0.0,1117,18.0,1,5151.7,5123.7,17.31,-0.1802,8.1
2025-01-26,balaghat,Balaghat Deep Shaft,6200,4973,44.3,86.2,89.9,89.8,23.3,0.7,0.0,1227,19.8,1,5081.6,5117.9,17.93,-0.1979,7.9
2025-01-27,balaghat,Balaghat Deep Shaft,6200,5208,43.5,86.9,88.5,91.9,22.5,1.5,0.0,992,16.0,1,5042.6,5121.2,17.45,-0.16,8.5
2025-01-28,balaghat,Balaghat Deep Shaft,6200,5223,43.7,85.7,87.0,94.4,22.5,1.5,0.0,977,15.8,1,5104.7,5124.9,17.04,-0.1576,8.2
2025-01-29,balaghat,Balaghat Deep Shaft,6200,5166,43.7,86.5,88.5,88.1,23.1,0.9,0.0,1034,16.7,1,5157.6,5126.3,16.95,-0.1668,7.6
2025-01-30,balaghat,Balaghat Deep Shaft,6200,5278,45.1,88.0,90.2,91.5,22.6,1.4,0.0,922,14.9,1,5192.0,5131.3,16.44,-0.1487,8.3
2025-01-31,balaghat,Balaghat Deep Shaft,6200,5315,44.1,85.1,89.1,91.6,23.2,0.8,0.0,885,14.3,1,5178.0,5139.1,15.9,-0.1427,7.8
2025-02-01,balaghat,Balaghat Deep Shaft,6200,5055,44.2,87.1,85.3,92.7,22.1,1.9,0.0,1145,18.5,1,5174.0,5133.2,16.55,-0.1847,8.7
2025-02-02,balaghat,Balaghat Deep Shaft,6200,4980,43.9,85.7,87.1,89.2,22.7,1.3,0.0,1220,19.7,1,5175.0,5120.6,17.34,-0.1968,9.3
2025-02-03,balaghat,Balaghat Deep Shaft,6200,5036,43.5,85.5,86.6,91.6,22.2,1.8,0.0,1164,18.8,1,5150.4,5123.5,17.71,-0.1877,9.6
2025-02-04,balaghat,Balaghat Deep Shaft,6200,5081,43.8,85.0,86.0,93.8,22.3,1.7,0.0,1119,18.0,1,5130.1,5123.1,17.78,-0.1805,9.8
2025-02-05,balaghat,Balaghat Deep Shaft,6200,5035,44.9,85.7,87.0,92.9,22.4,1.6,0.0,1165,18.8,1,5111.4,5118.8,18.03,-0.1879,10.5
2025-02-06,balaghat,Balaghat Deep Shaft,6200,5208,43.7,86.1,93.8,91.9,23.4,0.6,0.0,992,16.0,1,5101.4,5128.1,17.53,-0.16,9.7
2025-02-07,balaghat,Balaghat Deep Shaft,6200,5070,44.9,86.1,92.9,90.3,23.3,0.7,0.0,1130,18.2,1,5066.4,5134.6,17.69,-0.1823,9.6
2025-02-08,balaghat,Balaghat Deep Shaft,6200,5375,45.3,85.7,87.9,97.5,22.5,1.5,0.0,825,13.3,1,5112.1,5140.8,16.6,-0.1331,9.2
2025-02-09,balaghat,Balaghat Deep Shaft,6200,5325,44.7,88.2,94.4,89.8,22.8,1.2,0.0,875,14.1,1,5161.4,5143.9,15.97,-0.1411,9.1
2025-02-10,balaghat,Balaghat Deep Shaft,6200,5230,45.2,87.8,95.4,89.6,23.2,0.8,0.0,970,15.6,1,5189.1,5140.3,15.88,-0.1565,8.1
2025-02-11,balaghat,Balaghat Deep Shaft,6200,4870,44.8,86.7,86.2,88.3,22.1,1.9,0.0,1330,21.5,1,5159.0,5132.7,17.28,-0.2145,8.3
2025-02-12,balaghat,Balaghat Deep Shaft,6200,4844,43.4,87.2,93.2,89.7,22.4,1.6,0.0,1356,21.9,1,5131.7,5128.6,18.44,-0.2187,8.3
2025-02-13,balaghat,Balaghat Deep Shaft,6200,5224,44.7,86.8,94.2,92.6,22.8,1.2,0.0,976,15.7,1,5134.0,5136.8,17.75,-0.1574,8.9
2025-02-14,balaghat,Balaghat Deep Shaft,6200,4836,43.4,87.4,89.1,86.5,22.6,1.4,0.0,1364,22.0,1,5100.6,5125.5,18.82,-0.22,9.6
2025-02-15,balaghat,Balaghat Deep Shaft,6200,5379,44.2,87.8,92.4,94.4,22.5,1.5,0.0,821,13.2,1,5101.1,5129.1,17.41,-0.1324,9.6
2025-02-16,balaghat,Balaghat Deep Shaft,6200,5158,44.3,86.1,91.1,93.1,22.6,1.4,0.0,1042,16.8,1,5077.3,5128.7,17.26,-0.1681,9.8
2025-02-17,balaghat,Balaghat Deep Shaft,6200,3451,44.6,87.7,57.8,91.1,15.6,8.4,0.0,2749,44.3,1,4823.1,5079.4,24.02,-0.4434,17.4
2025-02-18,balaghat,Balaghat Deep Shaft,6200,5335,44.3,88.0,89.1,90.3,23.0,1.0,0.0,865,14.0,1,4889.6,5075.1,21.51,-0.1395,16.5
2025-02-19,balaghat,Balaghat Deep Shaft,6200,5214,43.8,85.6,87.1,92.4,22.6,1.4,0.0,986,15.9,1,4942.4,5066.2,20.11,-0.159,16.3
2025-02-20,balaghat,Balaghat Deep Shaft,6200,5071,43.8,86.5,85.0,92.9,22.3,1.7,0.0,1129,18.2,1,4920.6,5075.6,19.63,-0.1821,16.8
2025-02-21,balaghat,Balaghat Deep Shaft,6200,5138,44.1,85.7,89.1,92.9,22.2,1.8,0.0,1062,17.1,1,4963.7,5087.0,19.0,-0.1713,17.2
2025-02-22,balaghat,Balaghat Deep Shaft,6200,4955,44.8,85.7,90.4,91.5,22.3,1.7,0.0,1245,20.1,1,4903.1,5084.3,19.27,-0.2008,17.4
2025-02-23,balaghat,Balaghat Deep Shaft,6200,4992,44.1,86.0,87.5,92.3,22.1,1.9,0.0,1208,19.5,1,4879.4,5070.3,19.33,-0.1948,17.9
2025-02-24,balaghat,Balaghat Deep Shaft,6200,5002,43.5,85.2,87.0,94.5,22.4,1.6,0.0,1198,19.3,1,5101.0,5067.6,19.32,-0.1932,11.1
2025-02-25,balaghat,Balaghat Deep Shaft,6200,5037,43.8,86.7,87.9,91.7,22.8,1.2,0.0,1163,18.8,1,5058.4,5069.7,19.19,-0.1876,11.3
2025-02-26,balaghat,Balaghat Deep Shaft,6200,5186,45.0,86.4,96.4,93.0,23.3,0.7,0.0,1014,16.4,1,5054.4,5069.0,18.49,-0.1635,10.6
2025-02-27,balaghat,Balaghat Deep Shaft,6200,5196,44.3,86.9,89.6,90.3,23.4,0.6,0.0,1004,16.2,1,5072.3,5068.1,17.92,-0.1619,9.5
2025-02-28,balaghat,Balaghat Deep Shaft,6200,5181,45.0,86.8,91.3,89.8,23.4,0.6,0.0,1019,16.4,1,5078.4,5068.6,17.54,-0.1644,8.3
2025-03-01,balaghat,Balaghat Deep Shaft,6200,5229,43.6,87.5,94.2,91.5,23.5,0.5,0.0,971,15.7,1,5117.6,5066.9,17.08,-0.1566,7.1
2025-03-02,balaghat,Balaghat Deep Shaft,6200,5249,44.7,87.2,86.5,94.7,22.6,1.4,0.0,951,15.3,1,5154.3,5064.7,16.64,-0.1534,6.6
2025-03-03,balaghat,Balaghat Deep Shaft,6200,5246,44.2,85.1,93.1,92.1,23.4,0.6,0.0,954,15.4,1,5189.1,5071.1,16.33,-0.1539,5.6
2025-03-04,balaghat,Balaghat Deep Shaft,6200,4857,45.3,86.0,89.5,90.4,22.6,1.4,0.0,1343,21.7,1,5163.4,5067.0,17.67,-0.2166,5.8
2025-03-05,balaghat,Balaghat Deep Shaft,6200,5307,39.5,83.8,94.7,97.0,23.1,0.9,0.0,893,14.4,1,5180.7,5076.0,16.85,-0.144,6.0
2025-03-06,balaghat,Balaghat Deep Shaft,6200,4976,44.4,87.6,87.4,86.7,22.3,1.7,0.0,1224,19.7,1,5149.3,5072.5,17.56,-0.1974,7.1
2025-03-07,balaghat,Balaghat Deep Shaft,6200,4762,45.3,88.5,85.2,88.2,22.1,1.9,0.0,1438,23.2,1,5089.4,5063.4,18.97,-0.2319,8.4
2025-03-08,balaghat,Balaghat Deep Shaft,6200,5253,43.5,85.1,87.7,92.2,22.9,1.1,0.0,947,15.3,1,5092.9,5064.9,18.05,-0.1527,9.0
2025-03-09,balaghat,Balaghat Deep Shaft,6200,5163,43.8,85.3,90.6,87.5,23.4,0.6,0.0,1037,16.7,1,5080.6,5068.0,17.72,-0.1673,8.2
2025-03-10,balaghat,Balaghat Deep Shaft,6200,5238,44.4,87.4,85.3,95.3,22.1,1.9,0.0,962,15.5,1,5079.4,5063.5,17.16,-0.1552,9.5
2025-03-11,balaghat,Balaghat Deep Shaft,6200,5196,44.5,86.3,91.3,91.8,23.2,0.8,0.0,1004,16.2,1,5127.9,5059.2,16.92,-0.1619,8.9
2025-03-12,balaghat,Balaghat Deep Shaft,6200,5074,45.4,86.2,88.8,92.1,22.3,1.7,0.0,1126,18.2,1,5094.6,5054.0,17.24,-0.1816,9.7
2025-03-13,balaghat,Balaghat Deep Shaft,6200,5252,44.8,86.1,96.9,90.9,23.3,0.7,0.0,948,15.3,1,5134.0,5066.7,16.76,-0.1529,8.7
2025-03-14,balaghat,Balaghat Deep Shaft,6200,5184,44.0,86.1,95.1,90.4,23.5,0.5,0.0,1016,16.4,1,5194.3,5078.0,16.67,-0.1639,7.3
2025-03-15,balaghat,Balaghat Deep Shaft,6200,5171,44.6,87.1,88.3,90.8,22.7,1.3,0.0,1029,16.6,1,5182.6,5076.3,16.65,-0.166,7.5
2025-03-16,balaghat,Balaghat Deep Shaft,6200,5152,44.7,85.4,92.6,91.5,23.1,0.9,0.0,1048,16.9,1,5181.0,5086.8,16.71,-0.169,7.8
2025-03-17,balaghat,Balaghat Deep Shaft,6200,5054,44.6,87.9,96.5,88.2,23.4,0.6,0.0,1146,18.5,1,5154.7,5076.0,17.16,-0.1848,6.5
2025-03-18,balaghat,Balaghat Deep Shaft,6200,5117,44.5,86.8,88.7,88.7,23.0,1.0,0.0,1083,17.5,1,5143.4,5074.6,17.24,-0.1747,6.7
2025-03-19,balaghat,Balaghat Deep Shaft,6200,5203,43.7,87.3,96.0,90.2,23.2,0.8,0.0,997,16.1,1,5161.9,5133.0,16.96,-0.1608,5.8
2025-03-20,balaghat,Balaghat Deep Shaft,6200,5036,42.8,84.8,93.4,91.6,22.5,1.5,0.0,1164,18.8,1,5131.0,5123.0,17.42,-0.1877,6.6
2025-03-21,balaghat,Balaghat Deep Shaft,6200,4972,44.1,87.4,86.9,91.2,22.3,1.7,0.0,1228,19.8,1,5100.7,5115.0,18.01,-0.1981,7.8
2025-03-22,balaghat,Balaghat Deep Shaft,6200,5275,44.0,85.6,91.7,97.4,22.9,1.1,0.0,925,14.9,1,5115.6,5121.8,17.24,-0.1492,7.6
2025-03-23,balaghat,Balaghat Deep Shaft,6200,5268,44.4,87.8,90.3,92.9,22.7,1.3,0.0,932,15.0,1,5132.1,5126.1,16.68,-0.1503,8.0
2025-03-24,balaghat,Balaghat Deep Shaft,6200,4972,43.7,86.7,95.3,89.5,22.9,1.1,0.0,1228,19.8,1,5120.4,5126.7,17.46,-0.1981,8.5
2025-03-25,balaghat,Balaghat Deep Shaft,6200,5377,44.7,88.0,88.9,95.7,22.3,1.7,0.0,823,13.3,1,5157.6,5139.5,16.42,-0.1327,9.2
2025-03-26,balaghat,Balaghat Deep Shaft,6200,5317,45.1,87.5,94.8,90.4,23.3,0.7,0.0,883,14.2,1,5173.9,5150.0,15.86,-0.1424,9.1
2025-03-27,balaghat,Balaghat Deep Shaft,6200,4995,44.5,87.4,95.9,88.0,23.3,0.7,0.0,1205,19.4,1,5168.0,5148.6,16.75,-0.1944,8.3
2025-03-28,balaghat,Balaghat Deep Shaft,6200,4855,43.9,86.2,91.9,89.4,22.2,1.8,0.0,1345,21.7,1,5151.3,5137.6,17.99,-0.2169,8.4
2025-03-29,balaghat,Balaghat Deep Shaft,6200,4783,43.7,85.2,84.7,90.9,22.0,2.0,0.0,1417,22.9,1,5081.0,5123.8,19.21,-0.2285,9.3
2025-03-30,balaghat,Balaghat Deep Shaft,6200,5345,44.3,87.2,90.0,92.8,22.7,1.3,0.0,855,13.8,1,5092.0,5129.3,17.86,-0.1379,9.3
2025-03-31,balaghat,Balaghat Deep Shaft,6200,5093,43.1,87.0,92.6,89.6,22.7,1.3,0.0,1107,17.9,1,5109.3,5124.7,17.87,-0.1785,9.5
2025-04-01,balaghat,Balaghat Deep Shaft,6200,5024,44.4,88.0,90.7,88.7,22.8,1.2,0.0,1176,19.0,1,5058.9,5117.2,18.15,-0.1897,9.0
2025-04-02,balaghat,Balaghat Deep Shaft,6200,5338,43.9,85.5,90.8,94.0,23.1,0.9,0.0,862,13.9,1,5061.9,5120.3,17.09,-0.139,9.2
2025-04-03,balaghat,Balaghat Deep Shaft,6200,4533,43.6,84.7,85.4,87.1,22.1,1.9,0.0,1667,26.9,1,4995.9,5109.5,19.54,-0.2689,10.4
2025-04-04,balaghat,Balaghat Deep Shaft,6200,5286,44.1,87.5,87.4,91.7,22.6,1.4,0.0,914,14.7,1,5057.4,5108.8,18.33,-0.1474,10.0
2025-04-05,balaghat,Balaghat Deep Shaft,6200,3497,44.0,86.3,60.5,90.7,15.8,8.2,0.0,2703,43.6,1,4873.7,5059.5,24.65,-0.436,16.2
2025-04-06,balaghat,Balaghat Deep Shaft,6200,5248,44.0,86.5,92.0,94.5,22.8,1.2,0.0,952,15.4,1,4859.9,5075.7,22.34,-0.1535,16.1
2025-04-07,balaghat,Balaghat Deep Shaft,6200,4930,44.2,86.4,89.4,87.5,22.2,1.8,0.0,1270,20.5,1,4836.6,5064.9,21.88,-0.2048,16.6
2025-04-08,balaghat,Balaghat Deep Shaft,6200,5071,44.9,86.6,90.7,87.8,23.3,0.7,0.0,1129,18.2,1,4843.3,5061.9,20.96,-0.1821,16.1
2025-04-09,balaghat,Balaghat Deep Shaft,6200,4928,44.4,85.9,93.8,90.3,23.0,1.0,0.0,1272,20.5,1,4784.7,5051.5,20.84,-0.2052,16.2
2025-04-10,balaghat,Balaghat Deep Shaft,6200,5476,44.4,87.8,89.3,92.7,23.0,1.0,0.0,724,11.7,1,4919.4,5060.9,18.56,-0.1168,15.3
2025-04-11,balaghat,Balaghat Deep Shaft,6200,5484,43.9,85.7,95.2,94.7,23.3,0.7,0.0,716,11.5,1,4947.7,5074.5,16.79,-0.1155,14.6
2025-04-12,balaghat,Balaghat Deep Shaft,6200,5530,45.3,88.1,93.5,92.5,23.1,0.9,0.0,670,10.8,1,5238.1,5083.8,15.29,-0.1081,7.3
2025-04-13,balaghat,Balaghat Deep Shaft,6200,4815,42.8,85.4,90.9,89.3,22.1,1.9,0.0,1385,22.3,1,5176.3,5071.5,17.05,-0.2234,8.0
2025-04-14,balaghat,Balaghat Deep Shaft,6200,4954,44.6,86.1,86.4,91.8,22.5,1.5,0.0,1246,20.1,1,5179.7,5064.3,17.81,-0.201,7.7
2025-04-15,balaghat,Balaghat Deep Shaft,6200,4824,45.3,85.9,85.9,88.1,22.4,1.6,0.0,1376,22.2,1,5144.4,5053.3,18.91,-0.2219,8.6
2025-04-16,balaghat,Balaghat Deep Shaft,6200,5160,44.9,88.3,91.0,91.6,22.6,1.4,0.0,1040,16.8,1,5177.6,5056.9,18.38,-0.1677,9.0
2025-04-17,balaghat,Balaghat Deep Shaft,6200,5171,42.8,86.1,89.3,93.6,22.1,1.9,0.0,1029,16.6,1,5134.0,5058.7,17.94,-0.166,9.9
2025-04-18,balaghat,Balaghat Deep Shaft,6200,5172,43.3,86.0,95.7,90.9,23.3,0.7,0.0,1028,16.6,1,5089.4,5057.6,17.6,-0.1658,9.9
2025-04-19,balaghat,Balaghat Deep Shaft,6200,5068,43.1,85.3,94.1,94.2,22.6,1.4,0.0,1132,18.3,1,5023.4,5058.7,17.78,-0.1826,10.4
2025-04-20,balaghat,Balaghat Deep Shaft,6200,5259,43.5,86.1,89.5,90.8,23.4,0.6,0.0,941,15.2,1,5086.9,5068.3,17.13,-0.1518,9.1
2025-04-21,balaghat,Balaghat Deep Shaft,6200,4814,44.6,87.7,90.9,89.5,22.2,1.8,0.0,1386,22.4,1,5066.9,5052.9,18.45,-0.2235,9.4
2025-04-22,balaghat,Balaghat Deep Shaft,6200,4921,44.3,86.5,89.3,89.7,22.3,1.7,0.0,1279,20.6,1,5080.7,5041.3,18.99,-0.2063,9.5
2025-04-23,balaghat,Balaghat Deep Shaft,6200,4957,44.3,85.2,89.8,88.6,23.2,0.8,0.0,1243,20.0,1,5051.7,5040.8,19.24,-0.2005,8.9
2025-04-24,balaghat,Balaghat Deep Shaft,6200,5207,45.3,86.5,96.7,88.7,23.5,0.5,0.0,993,16.0,1,5056.9,5035.2,18.43,-0.1602,7.5
2025-04-25,balaghat,Balaghat Deep Shaft,6200,5144,43.8,87.4,93.6,89.7,22.5,1.5,0.0,1056,17.0,1,5052.9,5029.4,18.07,-0.1703,8.3
2025-04-26,balaghat,Balaghat Deep Shaft,6200,5213,44.6,86.1,95.6,88.4,23.4,0.6,0.0,987,15.9,1,5073.6,5036.7,17.53,-0.1592,7.5
2025-04-27,balaghat,Balaghat Deep Shaft,6200,5199,43.6,85.0,94.3,95.6,23.2,0.8,0.0,1001,16.1,1,5065.0,5048.1,17.17,-0.1615,7.7
2025-04-28,balaghat,Balaghat Deep Shaft,6200,5080,43.4,85.1,88.3,92.3,22.9,1.1,0.0,1120,18.1,1,5103.0,5058.0,17.4,-0.1806,7.0
2025-04-29,balaghat,Balaghat Deep Shaft,6200,5404,43.1,86.1,91.3,94.8,23.1,0.9,0.0,796,12.8,1,5172.0,5060.0,16.25,-0.1284,6.2
2025-04-30,balaghat,Balaghat Deep Shaft,6200,5016,44.1,85.3,92.2,92.0,22.4,1.6,0.0,1184,19.1,1,5180.4,5057.4,16.96,-0.191,7.0
2025-05-01,balaghat,Balaghat Deep Shaft,6200,5339,45.0,86.9,95.8,90.7,23.5,0.5,0.0,861,13.9,1,5199.3,5067.9,16.2,-0.1389,7.0
2025-05-02,balaghat,Balaghat Deep Shaft,6200,4965,44.1,87.4,87.5,91.9,22.0,2.0,0.0,1235,19.9,1,5173.7,5055.5,17.12,-0.1992,7.5
2025-05-03,balaghat,Balaghat Deep Shaft,6200,4755,44.5,85.7,89.4,87.4,22.7,1.3,0.0,1445,23.3,1,5108.3,5062.9,18.67,-0.2331,8.2
2025-05-04,balaghat,Balaghat Deep Shaft,6200,5371,44.8,87.8,88.8,92.1,22.6,1.4,0.0,829,13.4,1,5132.9,5065.7,17.35,-0.1337,8.8
2025-05-05,balaghat,Balaghat Deep Shaft,6200,5094,42.8,84.9,96.2,92.5,23.4,0.6,0.0,1106,17.8,1,5134.9,5119.0,17.46,-0.1784,8.3
2025-05-06,balaghat,Balaghat Deep Shaft,6200,4998,43.4,85.4,93.4,90.0,23.1,0.9,0.0,1202,19.4,1,5076.9,5110.6,17.95,-0.1939,8.3
2025-05-07,balaghat,Balaghat Deep Shaft,6200,4999,39.8,84.7,86.2,96.7,22.1,1.9,0.0,1201,19.4,1,5074.4,5112.9,18.31,-0.1937,8.6
2025-05-08,balaghat,Balaghat Deep Shaft,6200,5207,44.3,87.1,90.2,90.1,22.8,1.2,0.0,993,16.0,1,5055.6,5117.5,17.73,-0.1602,9.3
2025-05-09,balaghat,Balaghat Deep Shaft,6200,5089,44.0,86.6,89.5,91.9,22.8,1.2,0.0,1111,17.9,1,5073.3,5122.8,17.77,-0.1792,8.5
2025-05-10,balaghat,Balaghat Deep Shaft,6200,5208,44.8,87.3,91.5,93.1,23.1,0.9,0.0,992,16.0,1,5138.0,5113.9,17.33,-0.16,8.1
2025-05-11,balaghat,Balaghat Deep Shaft,6200,5006,44.1,85.7,87.6,88.2,22.7,1.3,0.0,1194,19.3,1,5085.9,5098.0,17.82,-0.1926,8.0
2025-05-12,balaghat,Balaghat Deep Shaft,6200,5588,44.5,87.5,92.3,93.6,23.1,0.9,0.0,612,9.9,0,5156.4,5099.9,15.84,-0.0987,8.3
2025-05-13,balaghat,Balaghat Deep Shaft,6200,5611,44.3,87.2,91.9,93.5,23.4,0.6,0.0,589,9.5,0,5244.0,5126.4,14.26,-0.095,8.0
2025-05-14,balaghat,Balaghat Deep Shaft,6200,5176,44.6,87.3,85.7,91.4,22.2,1.8,0.0,1024,16.5,1,5269.3,5133.8,14.82,-0.1652,7.9
2025-05-15,balaghat,Balaghat Deep Shaft,6200,4985,44.5,86.1,96.5,88.0,23.3,0.7,0.0,1215,19.6,1,5237.6,5139.2,16.01,-0.196,7.4
2025-05-16,balaghat,Balaghat Deep Shaft,6200,5172,43.9,86.9,88.3,91.0,22.7,1.3,0.0,1028,16.6,1,5249.4,5139.6,16.16,-0.1658,7.5
2025-05-17,balaghat,Balaghat Deep Shaft,6200,5352,44.6,88.2,91.0,88.1,23.5,0.5,0.0,848,13.7,1,5270.0,5145.6,15.54,-0.1368,7.1
2025-05-18,balaghat,Balaghat Deep Shaft,6200,5217,45.0,85.9,90.0,90.2,22.8,1.2,0.0,983,15.9,1,5300.1,5147.1,15.63,-0.1585,7.0
2025-05-19,balaghat,Balaghat Deep Shaft,6200,4809,43.1,87.0,91.4,87.3,22.4,1.6,0.0,1391,22.4,1,5188.9,5138.5,17.33,-0.2244,7.7
2025-05-20,balaghat,Balaghat Deep Shaft,6200,5012,43.7,84.7,97.4,89.0,23.4,0.6,0.0,1188,19.2,1,5103.3,5130.3,17.79,-0.1916,7.7
2025-05-21,balaghat,Balaghat Deep Shaft,6200,4903,44.6,88.0,85.8,88.8,22.1,1.9,0.0,1297,20.9,1,5064.3,5133.2,18.57,-0.2092,7.8
2025-05-22,balaghat,Balaghat Deep Shaft,6200,3517,44.6,85.3,65.7,91.4,16.1,7.9,0.0,2683,43.3,1,4854.6,5086.4,24.75,-0.4327,15.0
2025-05-23,balaghat,Balaghat Deep Shaft,6200,5285,45.2,88.1,92.7,94.4,22.7,1.3,0.0,915,14.8,1,4870.7,5097.4,22.26,-0.1476,15.0
2025-05-24,balaghat,Balaghat Deep Shaft,6200,5310,44.9,85.8,89.7,89.9,23.4,0.6,0.0,890,14.4,1,4864.7,5100.8,20.3,-0.1435,15.1
2025-05-25,balaghat,Balaghat Deep Shaft,6200,5160,43.5,87.1,87.8,90.6,22.4,1.6,0.0,1040,16.8,1,4856.6,5101.3,19.42,-0.1677,15.5
2025-05-26,balaghat,Balaghat Deep Shaft,6200,5315,43.3,87.2,89.5,92.0,22.6,1.4,0.0,885,14.3,1,4928.9,5104.7,18.14,-0.1427,15.3
2025-05-27,balaghat,Balaghat Deep Shaft,6200,5204,44.9,87.2,93.9,92.9,22.7,1.3,0.0,996,16.1,1,4956.3,5104.9,17.63,-0.1606,16.0
2025-05-28,balaghat,Balaghat Deep Shaft,6200,5132,45.3,86.6,95.7,91.4,23.4,0.6,0.0,1068,17.2,1,4989.0,5106.6,17.52,-0.1723,14.7
2025-05-29,balaghat,Balaghat Deep Shaft,6200,4691,43.7,86.7,87.6,82.8,22.6,1.4,0.0,1509,24.3,1,5156.7,5082.9,19.22,-0.2434,8.2
