mine_id,sample_id,latitude,longitude,depth_m,lithology,mn_grade,assay_confidence,lineament_distance,terrain_score,spectral_signal,prospectivity_label,depth_zone,grade_anomaly,lineament_proximity_score
ukwa,EXP-UKW-0024,21.95834,80.45972,184,Basement Gneiss,25.1,0.79,1653.1,0.83,0.416,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-2_GonditeReef,-6.4,0.173
gumgaon,EXP-GUM-0050,21.39665,79.0178,84,Quartzite Schist,34.1,0.84,44.5,0.83,0.765,HIGH PROSPECT (UNFC-111 Proved),Zone-1_Schist,4.9,0.978
ukwa,EXP-UKW-0001,21.95629,80.46364,240,Basement Gneiss,23.0,0.76,1508.4,0.77,0.332,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-3_Breccia,-8.5,0.246
dongri-buzurg,EXP-DON-0022,21.54528,79.72807,106,Quartzite Schist,37.1,0.88,865.1,0.97,0.677,MEDIUM PROSPECT (UNFC-122 Probable),Zone-1_Schist,5.2,0.567
tirodi,EXP-TIR-0008,21.67847,79.72219,325,Basement Gneiss,26.0,0.72,480.0,0.74,0.442,MEDIUM PROSPECT (UNFC-122 Probable),Zone-4_Basement,-1.9,0.76
ukwa,EXP-UKW-0050,21.95498,80.44368,301,Basement Gneiss,21.1,0.75,1749.4,0.66,0.34,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-4_Basement,-10.4,0.125
ukwa,EXP-UKW-0012,21.96372,80.47817,27,Basement Gneiss,28.8,0.75,697.3,0.86,0.52,MEDIUM PROSPECT (UNFC-122 Probable),Zone-0_Overburden,-2.7,0.651
dongri-buzurg,EXP-DON-0068,21.56753,79.70352,182,Basement Gneiss,26.7,0.72,1002.8,0.83,0.449,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-2_GonditeReef,-5.2,0.499
gumgaon,EXP-GUM-0044,21.4008,79.03007,291,Basement Gneiss,22.9,0.74,1670.0,0.9,0.325,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-4_Basement,-6.3,0.165
gumgaon,EXP-GUM-0056,21.37671,79.02624,247,Basement Gneiss,28.1,0.73,433.3,0.8,0.469,MEDIUM PROSPECT (UNFC-122 Probable),Zone-3_Breccia,-1.1,0.783
gumgaon,EXP-GUM-0014,21.36301,79.01511,326,Basement Gneiss,25.9,0.74,345.3,0.72,0.488,MEDIUM PROSPECT (UNFC-122 Probable),Zone-4_Basement,-3.3,0.827
balaghat,EXP-BAL-0094,21.82775,80.16641,255,Basement Gneiss,28.2,0.78,796.3,0.84,0.478,MEDIUM PROSPECT (UNFC-122 Probable),Zone-3_Breccia,-3.5,0.602
ukwa,EXP-UKW-0003,21.95589,80.45582,161,Quartzite Schist,35.0,0.84,495.4,0.97,0.639,MEDIUM PROSPECT (UNFC-122 Probable),Zone-2_GonditeReef,3.5,0.752
dongri-buzurg,EXP-DON-0034,21.53307,79.74262,330,Basement Gneiss,26.8,0.75,891.2,0.93,0.41,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-4_Basement,-5.1,0.554
tirodi,EXP-TIR-0009,21.69319,79.71533,61,Mansar Gondite Horizon,29.1,0.89,1462.4,0.77,0.63,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-1_Schist,1.2,0.269
dongri-buzurg,EXP-DON-0011,21.54331,79.72617,46,Mansar Gondite Horizon,45.9,0.94,465.3,0.95,0.834,HIGH PROSPECT (UNFC-111 Proved),Zone-0_Overburden,14.0,0.767
gumgaon,EXP-GUM-0062,21.38415,78.99367,50,Basement Gneiss,31.3,0.78,35.5,0.79,0.559,MEDIUM PROSPECT (UNFC-122 Probable),Zone-1_Schist,2.1,0.982
dongri-buzurg,EXP-DON-0059,21.53951,79.71897,76,Mansar Gondite Horizon,46.8,0.95,640.6,0.72,0.891,HIGH PROSPECT (UNFC-111 Proved),Zone-1_Schist,14.9,0.68
tirodi,EXP-TIR-0003,21.67,79.69484,331,Basement Gneiss,21.5,0.74,1258.0,0.71,0.364,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-4_Basement,-6.4,0.371
ukwa,EXP-UKW-0082,21.9496,80.46492,135,Mansar Gondite Horizon,40.7,0.93,329.1,0.95,0.867,HIGH PROSPECT (UNFC-111 Proved),Zone-2_GonditeReef,9.2,0.835
balaghat,EXP-BAL-0051,21.81625,80.20037,113,Basement Gneiss,29.9,0.83,946.2,0.92,0.548,MEDIUM PROSPECT (UNFC-122 Probable),Zone-2_GonditeReef,-1.8,0.527
dongri-buzurg,EXP-DON-0090,21.56011,79.74363,240,Basement Gneiss,28.4,0.74,388.5,0.94,0.539,MEDIUM PROSPECT (UNFC-122 Probable),Zone-3_Breccia,-3.5,0.806
dongri-buzurg,EXP-DON-0092,21.55076,79.70173,232,Basement Gneiss,25.9,0.75,1029.3,0.94,0.394,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-3_Breccia,-6.0,0.485
balaghat,EXP-BAL-0097,21.80263,80.17527,260,Basement Gneiss,26.4,0.76,1150.6,0.95,0.376,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-3_Breccia,-5.3,0.425
dongri-buzurg,EXP-DON-0091,21.51972,79.74295,242,Basement Gneiss,28.4,0.74,559.3,0.87,0.416,MEDIUM PROSPECT (UNFC-122 Probable),Zone-3_Breccia,-3.5,0.72
tirodi,EXP-TIR-0023,21.69007,79.68871,199,Basement Gneiss,23.7,0.74,1413.0,0.93,0.413,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-2_GonditeReef,-4.2,0.294
balaghat,EXP-BAL-0079,21.78553,80.18324,89,Basement Gneiss,26.8,0.74,491.8,0.88,0.496,MEDIUM PROSPECT (UNFC-122 Probable),Zone-1_Schist,-4.9,0.754
balaghat,EXP-BAL-0032,21.8272,80.20594,141,Mansar Gondite Horizon,37.9,0.92,889.9,0.97,0.732,MEDIUM PROSPECT (UNFC-122 Probable),Zone-2_GonditeReef,6.2,0.555
dongri-buzurg,EXP-DON-0056,21.56506,79.73079,46,Mansar Gondite Horizon,39.3,0.96,1519.1,0.67,0.773,MEDIUM PROSPECT (UNFC-122 Probable),Zone-0_Overburden,7.4,0.24
balaghat,EXP-BAL-0052,21.80013,80.1788,269,Basement Gneiss,25.7,0.75,1092.9,0.93,0.429,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-3_Breccia,-6.0,0.454
ukwa,EXP-UKW-0093,21.959,80.44595,164,Quartzite Schist,30.7,0.87,1088.2,0.93,0.568,MEDIUM PROSPECT (UNFC-122 Probable),Zone-2_GonditeReef,-0.8,0.456
balaghat,EXP-BAL-0008,21.7893,80.16246,127,Quartzite Schist,36.2,0.85,247.5,0.92,0.648,MEDIUM PROSPECT (UNFC-122 Probable),Zone-2_GonditeReef,4.5,0.876
tirodi,EXP-TIR-0041,21.6743,79.71302,333,Basement Gneiss,25.9,0.72,853.3,0.86,0.366,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-4_Basement,-2.0,0.573
balaghat,EXP-BAL-0031,21.78926,80.19632,113,Basement Gneiss,31.8,0.82,634.8,0.71,0.567,MEDIUM PROSPECT (UNFC-122 Probable),Zone-2_GonditeReef,0.1,0.683
gumgaon,EXP-GUM-0001,21.40015,79.01396,123,Mansar Gondite Horizon,42.1,0.97,67.8,0.74,0.95,HIGH PROSPECT (UNFC-111 Proved),Zone-2_GonditeReef,12.9,0.966
ukwa,EXP-UKW-0010,21.98988,80.46195,289,Basement Gneiss,26.8,0.72,260.0,0.97,0.498,MEDIUM PROSPECT (UNFC-122 Probable),Zone-3_Breccia,-4.7,0.87
gumgaon,EXP-GUM-0026,21.36307,79.02604,169,Mansar Gondite Horizon,32.4,0.87,1100.9,0.97,0.664,MEDIUM PROSPECT (UNFC-122 Probable),Zone-2_GonditeReef,3.2,0.45
ukwa,EXP-UKW-0083,21.95657,80.45238,100,Mansar Gondite Horizon,41.7,0.97,746.6,0.8,0.843,MEDIUM PROSPECT (UNFC-122 Probable),Zone-1_Schist,10.2,0.627
dongri-buzurg,EXP-DON-0085,21.52849,79.702,109,Quartzite Schist,32.3,0.85,1676.0,0.96,0.569,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-1_Schist,0.4,0.162
dongri-buzurg,EXP-DON-0040,21.52372,79.71413,115,Quartzite Schist,33.1,0.83,1052.4,0.66,0.56,MEDIUM PROSPECT (UNFC-122 Probable),Zone-2_GonditeReef,1.2,0.474
gumgaon,EXP-GUM-0089,21.39266,79.03392,299,Basement Gneiss,24.9,0.73,1132.0,0.87,0.406,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-4_Basement,-4.3,0.434
balaghat,EXP-BAL-0021,21.79789,80.19182,224,Quartzite Schist,37.3,0.84,105.4,0.93,0.675,MEDIUM PROSPECT (UNFC-122 Probable),Zone-3_Breccia,5.6,0.947
balaghat,EXP-BAL-0013,21.78077,80.16559,34,Basement Gneiss,26.9,0.76,896.4,0.82,0.368,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-0_Overburden,-4.8,0.552
balaghat,EXP-BAL-0098,21.80668,80.20552,221,Quartzite Schist,38.0,0.87,372.5,0.7,0.648,MEDIUM PROSPECT (UNFC-122 Probable),Zone-3_Breccia,6.3,0.814
ukwa,EXP-UKW-0076,21.95182,80.48957,80,Mansar Gondite Horizon,39.4,0.91,459.5,0.81,0.816,HIGH PROSPECT (UNFC-111 Proved),Zone-1_Schist,7.9,0.77
tirodi,EXP-TIR-0029,21.67679,79.72485,322,Basement Gneiss,24.5,0.74,546.7,0.97,0.446,MEDIUM PROSPECT (UNFC-122 Probable),Zone-4_Basement,-3.4,0.727
ukwa,EXP-UKW-0014,21.95272,80.45554,102,Mansar Gondite Horizon,39.9,0.97,873.7,0.89,0.836,MEDIUM PROSPECT (UNFC-122 Probable),Zone-1_Schist,8.4,0.563
gumgaon,EXP-GUM-0036,21.38592,78.99451,257,Basement Gneiss,23.0,0.72,1559.5,0.66,0.399,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-3_Breccia,-6.2,0.22
gumgaon,EXP-GUM-0037,21.39582,78.9906,47,Basement Gneiss,27.9,0.76,832.0,0.75,0.44,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-0_Overburden,-1.3,0.584
ukwa,EXP-UKW-0084,21.94972,80.46636,160,Quartzite Schist,37.7,0.85,178.1,0.92,0.705,MEDIUM PROSPECT (UNFC-122 Probable),Zone-2_GonditeReef,6.2,0.911
gumgaon,EXP-GUM-0100,21.38217,79.01735,223,Basement Gneiss,28.8,0.75,194.4,0.73,0.563,MEDIUM PROSPECT (UNFC-122 Probable),Zone-3_Breccia,-0.4,0.903
gumgaon,EXP-GUM-0058,21.40666,79.01913,157,Mansar Gondite Horizon,35.2,0.92,1281.0,0.69,0.758,MEDIUM PROSPECT (UNFC-122 Probable),Zone-2_GonditeReef,6.0,0.36
balaghat,EXP-BAL-0095,21.78649,80.19996,88,Basement Gneiss,28.2,0.77,596.7,0.92,0.471,MEDIUM PROSPECT (UNFC-122 Probable),Zone-1_Schist,-3.5,0.702
balaghat,EXP-BAL-0089,21.82035,80.1731,78,Basement Gneiss,28.0,0.75,609.8,0.83,0.478,MEDIUM PROSPECT (UNFC-122 Probable),Zone-1_Schist,-3.7,0.695
gumgaon,EXP-GUM-0045,21.4021,79.02342,269,Basement Gneiss,24.6,0.76,1183.4,0.83,0.348,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-3_Breccia,-4.6,0.408
ukwa,EXP-UKW-0049,21.98004,80.45139,52,Basement Gneiss,34.4,0.79,35.6,0.79,0.599,MEDIUM PROSPECT (UNFC-122 Probable),Zone-1_Schist,2.9,0.982
tirodi,EXP-TIR-0085,21.68913,79.68373,331,Basement Gneiss,25.6,0.73,190.6,0.75,0.467,MEDIUM PROSPECT (UNFC-122 Probable),Zone-4_Basement,-2.3,0.905
ukwa,EXP-UKW-0058,21.97448,80.48222,250,Basement Gneiss,27.2,0.75,475.7,0.8,0.44,MEDIUM PROSPECT (UNFC-122 Probable),Zone-3_Breccia,-4.3,0.762
ukwa,EXP-UKW-0080,21.98426,80.4818,80,Mansar Gondite Horizon,34.4,0.92,1521.1,0.72,0.608,MEDIUM PROSPECT (UNFC-122 Probable),Zone-1_Schist,2.9,0.239
tirodi,EXP-TIR-0047,21.68101,79.69452,290,Basement Gneiss,26.4,0.74,66.3,0.94,0.533,MEDIUM PROSPECT (UNFC-122 Probable),Zone-3_Breccia,-1.5,0.967
tirodi,EXP-TIR-0061,21.70793,79.72016,270,Basement Gneiss,21.6,0.72,1757.2,0.75,0.262,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-3_Breccia,-6.3,0.121
balaghat,EXP-BAL-0043,21.80722,80.19079,157,Mansar Gondite Horizon,40.8,0.94,832.3,0.9,0.8,MEDIUM PROSPECT (UNFC-122 Probable),Zone-2_GonditeReef,9.1,0.584
gumgaon,EXP-GUM-0059,21.40199,79.00619,205,Basement Gneiss,26.0,0.77,1334.1,0.77,0.394,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-2_GonditeReef,-3.2,0.333
balaghat,EXP-BAL-0044,21.7853,80.1625,37,Basement Gneiss,27.5,0.72,687.3,0.81,0.448,MEDIUM PROSPECT (UNFC-122 Probable),Zone-0_Overburden,-4.2,0.656
dongri-buzurg,EXP-DON-0050,21.53559,79.7303,203,Basement Gneiss,29.9,0.75,0.9,0.91,0.528,MEDIUM PROSPECT (UNFC-122 Probable),Zone-2_GonditeReef,-2.0,1.0
ukwa,EXP-UKW-0016,21.96921,80.45201,219,Basement Gneiss,25.7,0.73,1178.1,0.82,0.418,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-2_GonditeReef,-5.8,0.411
balaghat,EXP-BAL-0035,21.81435,80.19532,138,Mansar Gondite Horizon,39.2,0.91,255.2,0.92,0.795,HIGH PROSPECT (UNFC-111 Proved),Zone-2_GonditeReef,7.5,0.872
balaghat,EXP-BAL-0082,21.81687,80.16203,104,Basement Gneiss,29.8,0.79,827.3,0.82,0.52,MEDIUM PROSPECT (UNFC-122 Probable),Zone-1_Schist,-1.9,0.586
balaghat,EXP-BAL-0078,21.8032,80.19358,79,Basement Gneiss,26.9,0.73,651.4,0.71,0.443,MEDIUM PROSPECT (UNFC-122 Probable),Zone-1_Schist,-4.8,0.674
tirodi,EXP-TIR-0006,21.68026,79.70637,300,Basement Gneiss,24.8,0.73,823.8,0.98,0.476,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-4_Basement,-3.1,0.588
tirodi,EXP-TIR-0088,21.7081,79.72133,335,Basement Gneiss,28.4,0.75,87.6,0.84,0.482,MEDIUM PROSPECT (UNFC-122 Probable),Zone-4_Basement,0.5,0.956
dongri-buzurg,EXP-DON-0030,21.53994,79.70872,283,Basement Gneiss,24.0,0.74,1566.3,0.74,0.355,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-3_Breccia,-7.9,0.217
gumgaon,EXP-GUM-0051,21.39805,78.98877,259,Basement Gneiss,24.4,0.73,758.8,0.7,0.384,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-3_Breccia,-4.8,0.621
ukwa,EXP-UKW-0032,21.94777,80.47228,61,Quartzite Schist,28.4,0.82,1632.8,0.88,0.475,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-1_Schist,-3.1,0.184
dongri-buzurg,EXP-DON-0038,21.51926,79.74014,191,Basement Gneiss,27.7,0.75,877.1,0.81,0.399,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-2_GonditeReef,-4.2,0.561
balaghat,EXP-BAL-0042,21.79201,80.18766,250,Basement Gneiss,28.4,0.79,1152.3,0.97,0.414,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-3_Breccia,-3.3,0.424
dongri-buzurg,EXP-DON-0051,21.56073,79.73976,248,Basement Gneiss,30.7,0.74,90.4,0.87,0.515,MEDIUM PROSPECT (UNFC-122 Probable),Zone-3_Breccia,-1.2,0.955
tirodi,EXP-TIR-0100,21.68065,79.71206,130,Mansar Gondite Horizon,36.2,0.91,239.9,0.67,0.765,MEDIUM PROSPECT (UNFC-122 Probable),Zone-2_GonditeReef,8.3,0.88
gumgaon,EXP-GUM-0085,21.36503,78.99899,69,Basement Gneiss,24.6,0.82,1652.1,0.9,0.442,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-1_Schist,-4.6,0.174
ukwa,EXP-UKW-0037,21.98709,80.45217,46,Basement Gneiss,30.0,0.81,821.3,0.83,0.504,MEDIUM PROSPECT (UNFC-122 Probable),Zone-0_Overburden,-1.5,0.589
gumgaon,EXP-GUM-0008,21.3921,79.01735,197,Basement Gneiss,25.4,0.79,1296.6,0.85,0.451,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-2_GonditeReef,-3.8,0.352
dongri-buzurg,EXP-DON-0054,21.56726,79.72799,106,Quartzite Schist,36.6,0.86,1496.7,0.91,0.621,MEDIUM PROSPECT (UNFC-122 Probable),Zone-1_Schist,4.7,0.252
tirodi,EXP-TIR-0018,21.66659,79.70148,123,Mansar Gondite Horizon,35.3,0.91,1006.3,0.77,0.774,MEDIUM PROSPECT (UNFC-122 Probable),Zone-2_GonditeReef,7.4,0.497
tirodi,EXP-TIR-0076,21.67744,79.70089,314,Basement Gneiss,23.8,0.75,1657.0,0.78,0.311,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-4_Basement,-4.1,0.172
tirodi,EXP-TIR-0070,21.67285,79.72857,338,Basement Gneiss,26.3,0.74,462.2,0.79,0.411,MEDIUM PROSPECT (UNFC-122 Probable),Zone-4_Basement,-1.6,0.769
gumgaon,EXP-GUM-0052,21.40383,79.03682,141,Mansar Gondite Horizon,38.1,0.97,848.0,0.94,0.9,MEDIUM PROSPECT (UNFC-122 Probable),Zone-2_GonditeReef,8.9,0.576
ukwa,EXP-UKW-0099,21.96664,80.457,212,Basement Gneiss,25.6,0.75,990.1,0.69,0.384,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-2_GonditeReef,-5.9,0.505
gumgaon,EXP-GUM-0041,21.39994,79.00164,333,Basement Gneiss,27.5,0.75,673.8,0.9,0.479,MEDIUM PROSPECT (UNFC-122 Probable),Zone-4_Basement,-1.7,0.663
balaghat,EXP-BAL-0040,21.82829,80.18602,126,Quartzite Schist,34.6,0.83,918.4,0.79,0.592,MEDIUM PROSPECT (UNFC-122 Probable),Zone-2_GonditeReef,2.9,0.541
balaghat,EXP-BAL-0057,21.79705,80.16605,70,Basement Gneiss,27.9,0.73,846.4,0.68,0.446,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-1_Schist,-3.8,0.577
tirodi,EXP-TIR-0092,21.69773,79.71745,296,Basement Gneiss,25.5,0.73,367.7,0.71,0.494,MEDIUM PROSPECT (UNFC-122 Probable),Zone-4_Basement,-2.4,0.816
tirodi,EXP-TIR-0039,21.70273,79.71635,40,Quartzite Schist,28.6,0.82,818.2,0.75,0.58,MEDIUM PROSPECT (UNFC-122 Probable),Zone-0_Overburden,0.7,0.591
gumgaon,EXP-GUM-0013,21.38665,79.00322,129,Mansar Gondite Horizon,41.6,0.98,651.5,0.89,0.908,HIGH PROSPECT (UNFC-111 Proved),Zone-2_GonditeReef,12.4,0.674
gumgaon,EXP-GUM-0027,21.36711,78.99307,120,Mansar Gondite Horizon,40.1,0.97,183.9,0.67,0.934,HIGH PROSPECT (UNFC-111 Proved),Zone-2_GonditeReef,10.9,0.908
tirodi,EXP-TIR-0004,21.67703,79.69135,187,Basement Gneiss,24.9,0.76,809.0,0.91,0.438,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-2_GonditeReef,-3.0,0.595
balaghat,EXP-BAL-0075,21.79933,80.1913,296,Basement Gneiss,30.5,0.74,5.7,0.74,0.512,MEDIUM PROSPECT (UNFC-122 Probable),Zone-4_Basement,-1.2,0.997
balaghat,EXP-BAL-0060,21.80742,80.18141,310,Basement Gneiss,28.5,0.74,35.8,0.65,0.507,MEDIUM PROSPECT (UNFC-122 Probable),Zone-4_Basement,-3.2,0.982
balaghat,EXP-BAL-0093,21.81751,80.18998,173,Mansar Gondite Horizon,45.9,0.99,98.5,0.96,0.895,HIGH PROSPECT (UNFC-111 Proved),Zone-2_GonditeReef,14.2,0.951
tirodi,EXP-TIR-0015,21.68532,79.72092,284,Basement Gneiss,23.3,0.73,1119.9,0.84,0.331,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-3_Breccia,-4.6,0.44
dongri-buzurg,EXP-DON-0065,21.55248,79.71792,88,Mansar Gondite Horizon,43.2,0.93,698.8,0.84,0.788,MEDIUM PROSPECT (UNFC-122 Probable),Zone-1_Schist,11.3,0.651
dongri-buzurg,EXP-DON-0026,21.5551,79.70054,214,Basement Gneiss,25.8,0.73,660.6,0.75,0.419,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-2_GonditeReef,-6.1,0.67
ukwa,EXP-UKW-0078,21.95593,80.45294,82,Mansar Gondite Horizon,37.9,0.93,764.7,0.96,0.723,MEDIUM PROSPECT (UNFC-122 Probable),Zone-1_Schist,6.4,0.618
dongri-buzurg,EXP-DON-0017,21.55431,79.73918,286,Basement Gneiss,24.1,0.73,1123.1,0.72,0.435,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-3_Breccia,-7.8,0.438
gumgaon,EXP-GUM-0009,21.40939,78.99382,243,Basement Gneiss,23.0,0.75,980.3,0.89,0.365,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-3_Breccia,-6.2,0.51
gumgaon,EXP-GUM-0030,21.39668,79.02547,28,Basement Gneiss,23.2,0.74,775.8,0.66,0.421,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-0_Overburden,-6.0,0.612
balaghat,EXP-BAL-0041,21.78077,80.20833,288,Basement Gneiss,29.7,0.73,436.7,0.71,0.445,MEDIUM PROSPECT (UNFC-122 Probable),Zone-3_Breccia,-2.0,0.782
gumgaon,EXP-GUM-0079,21.40286,79.03231,112,Mansar Gondite Horizon,38.8,0.96,311.5,0.95,0.863,HIGH PROSPECT (UNFC-111 Proved),Zone-2_GonditeReef,9.6,0.844
tirodi,EXP-TIR-0072,21.71101,79.70707,332,Basement Gneiss,25.2,0.75,855.7,0.81,0.396,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-4_Basement,-2.7,0.572
dongri-buzurg,EXP-DON-0048,21.53862,79.71503,106,Quartzite Schist,38.0,0.87,1112.8,0.68,0.644,MEDIUM PROSPECT (UNFC-122 Probable),Zone-1_Schist,6.1,0.444
gumgaon,EXP-GUM-0032,21.40222,78.9919,178,Quartzite Schist,33.5,0.85,2.1,0.89,0.707,MEDIUM PROSPECT (UNFC-122 Probable),Zone-2_GonditeReef,4.3,0.999
balaghat,EXP-BAL-0030,21.79915,80.2048,223,Quartzite Schist,34.0,0.85,1268.9,0.84,0.58,MEDIUM PROSPECT (UNFC-122 Probable),Zone-3_Breccia,2.3,0.366
dongri-buzurg,EXP-DON-0009,21.54312,79.71735,313,Basement Gneiss,26.6,0.72,394.2,0.86,0.499,MEDIUM PROSPECT (UNFC-122 Probable),Zone-4_Basement,-5.3,0.803
balaghat,EXP-BAL-0083,21.78486,80.18257,192,Mansar Gondite Horizon,42.2,0.94,630.0,0.77,0.825,HIGH PROSPECT (UNFC-111 Proved),Zone-2_GonditeReef,10.5,0.685
tirodi,EXP-TIR-0040,21.67705,79.72117,317,Basement Gneiss,26.4,0.74,226.1,0.76,0.51,MEDIUM PROSPECT (UNFC-122 Probable),Zone-4_Basement,-1.5,0.887
tirodi,EXP-TIR-0087,21.68413,79.69615,127,Mansar Gondite Horizon,32.5,0.91,1365.5,0.71,0.705,MEDIUM PROSPECT (UNFC-122 Probable),Zone-2_GonditeReef,4.6,0.317
balaghat,EXP-BAL-0045,21.80408,80.18387,79,Basement Gneiss,28.4,0.76,172.5,0.85,0.452,MEDIUM PROSPECT (UNFC-122 Probable),Zone-1_Schist,-3.3,0.914
balaghat,EXP-BAL-0048,21.81166,80.18311,196,Mansar Gondite Horizon,43.0,0.96,597.0,0.97,0.828,HIGH PROSPECT (UNFC-111 Proved),Zone-2_GonditeReef,11.3,0.702
